,band_name,album,song_name,lyrics,genius_url,lyrics_clean,song_lower
289,The Postal Service,Give Up (10th Anniversary Edition),The District Sleeps Alone Tonight,"Smeared black ink
Your palms are sweaty
And I'm barely listening
To last demands
I'm staring at the asphalt wondering
What's buried underneath

Where I am
Where I am

Wear my badge
A vinyl sticker with big block letters
Adherent to my chest
That tells your new friends
I am a visitor here; I am not permanent
And the only thing keeping me dry is
Where I am

You seem so out of context
In this gaudy apartment complex
A stranger with your door key
Explaining that I'm just visiting
And I am finally seeing
Why I was the one worth leaving
Why I was the one worth leaving

D.C. sleeps alone tonight
(Alone, alone, alone...)

(Where I am)
You seem so out of context
In this gaudy apartment complex
A stranger with your door key
Explaining that I'm just visiting
And I am finally seeing
Why I was the one worth leaving
Why I was the one worth leaving

The district sleeps alone tonight
After the bars turn out their lights
And send the autos swerving
Into the loneliest evening
And I am finally seeing
Why I was the one worth leaving
Why I was the one worth leaving
Why I was the one worth leaving
Why I was the one worth leaving",https://genius.com/The-postal-service-the-district-sleeps-alone-tonight-lyrics,smeared black ink your palms are sweaty and im barely listening to last demands im staring at the asphalt wondering whats buried underneath where i am where i am wear my badge a vinyl sticker with big block letters adherent to my chest that tells your new friends i am a visitor here i am not permanent and the only thing keeping me dry is where i am you seem so out of context in this gaudy apartment complex a stranger with your door key explaining that im just visiting and i am finally seeing why i was the one worth leaving why i was the one worth leaving dc sleeps alone tonight alone alone alone where i am you seem so out of context in this gaudy apartment complex a stranger with your door key explaining that im just visiting and i am finally seeing why i was the one worth leaving why i was the one worth leaving the district sleeps alone tonight after the bars turn out their lights and send the autos swerving into the loneliest evening and i am finally seeing why i was the one worth leaving why i was the one worth leaving why i was the one worth leaving why i was the one worth leaving,the district sleeps alone tonight
292,The Postal Service,Give Up (10th Anniversary Edition),There’s Never Enough Time,"In due time
We'll finally see
There's barely time
For us to breathe
In due time
We'll finally see
There's barely time
For us to breathe
In due time
We'll finally see
There's barely time
For us to breathe",https://genius.com/The-postal-service-theres-never-enough-time-lyrics,in due time well finally see theres barely time for us to breathe in due time well finally see theres barely time for us to breathe in due time well finally see theres barely time for us to breathe,there’s never enough time
296,The Postal Service,Give Up (10th Anniversary Edition),This Place Is a Prison,"This place is a prison
And these people aren't your friends
Inhaling thrills through twenty dollar bills
And the tumblers are drained and then flooded
Again and again

There's guards at the on ramps
Armed to the teeth
And you may case the grounds
From the Cascades to Puget Sound
But you are not permitted to leave

I know there's a big world out there
Like the one that I saw on the screen
In my living room, late last night
It was almost too bright to see
And I know that it's not a party
If it happens every night
Pretending there's glamour and candelabra
When you're drinking by candlelight

What does it take to get a drink in this place?
What does it take? How long must I wait?
What does it take to get a drink in this place?
What does it take? How long must I wait?
How long must I wait?",https://genius.com/The-postal-service-this-place-is-a-prison-lyrics,this place is a prison and these people arent your friends inhaling thrills through twenty dollar bills and the tumblers are drained and then flooded again and again theres guards at the on ramps armed to the teeth and you may case the grounds from the cascades to puget sound but you are not permitted to leave i know theres a big world out there like the one that i saw on the screen in my living room late last night it was almost too bright to see and i know that its not a party if it happens every night pretending theres glamour and candelabra when youre drinking by candlelight what does it take to get a drink in this place what does it take how long must i wait what does it take to get a drink in this place what does it take how long must i wait how long must i wait,this place is a prison
300,The Postal Service,Give Up (10th Anniversary Edition),We Will Become Silhouettes,"I've got a cupboard with cans of food
Filtered water, and pictures of you
And I'm not coming out until this is all over
And I'm looking through the glass
Where the light bends at the cracks
And I'm screaming at the top of my lungs
Pretending the echoes belong to someone
Someone I used to know

And we become
Silhouettes when our bodies finally go

I wanted to walk through the empty streets
And feel something constant under my feet
But all the news reports recommended that I stay indoors
Because the air outside will make
Our cells divide at an alarming rate
Until our shells simply cannot hold all our insides in
And that's when we'll explode
And it won't be a pretty sight

And we'll become
Silhouettes when our bodies finally go
And we'll become (And we'll become, and we'll become)
Silhouettes when our bodies finally go
And we'll become (And we'll become, and we'll become)
Silhouettes when our bodies finally go
And we'll become (And we'll become, and we'll become)
Silhouettes when our bodies finally go

(And we'll become, and we'll become
And we'll become, and we'll become)",https://genius.com/The-postal-service-we-will-become-silhouettes-lyrics,ive got a cupboard with cans of food filtered water and pictures of you and im not coming out until this is all over and im looking through the glass where the light bends at the cracks and im screaming at the top of my lungs pretending the echoes belong to someone someone i used to know and we become silhouettes when our bodies finally go i wanted to walk through the empty streets and feel something constant under my feet but all the news reports recommended that i stay indoors because the air outside will make our cells divide at an alarming rate until our shells simply cannot hold all our insides in and thats when well explode and it wont be a pretty sight and well become silhouettes when our bodies finally go and well become and well become and well become silhouettes when our bodies finally go and well become and well become and well become silhouettes when our bodies finally go and well become and well become and well become silhouettes when our bodies finally go and well become and well become and well become and well become,we will become silhouettes
298,The Postal Service,Give Up (10th Anniversary Edition),Turn Around,"Cold hands, warm heart
Big dreams, false starts
And those pills don't work
They just make it worse

Don't say you're through (Don't say)
And I'll swim beside you
So this town, this sea (This town)
It won't drag you underneath

You gotta know that this will turn around
Until then, I will not let you down
And when you find your ship has run aground
You can call me, I won't let you down
I won't let you down
This will turn around

Sick days, drunk nights
Short fuse, loud fights
Lose weight, all bones
The white drugs, the undertow

Don't say you're done (Don't say)
'Cause you're brave and you're loved
And this town, this sea (This town)
It won't drag you underneath

You gotta know that this will turn around
Until then, I will not let you down
And when you find your ship has run aground
You can call me, I won't let you down
I won't let you down
This will turn around

I won't let you down (I won't let you down)
You gotta know that this'll
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh
Turn around, turn around, turn around, oh

Turn around, turn around, turn around
Turn around, turn around, turn around
Turn around, turn around, turn around
Turn around, turn around, turn around
Turn around, turn around, turn around",https://genius.com/The-postal-service-turn-around-lyrics,cold hands warm heart big dreams false starts and those pills dont work they just make it worse dont say youre through dont say and ill swim beside you so this town this sea this town it wont drag you underneath you gotta know that this will turn around until then i will not let you down and when you find your ship has run aground you can call me i wont let you down i wont let you down this will turn around sick days drunk nights short fuse loud fights lose weight all bones the white drugs the undertow dont say youre done dont say cause youre brave and youre loved and this town this sea this town it wont drag you underneath you gotta know that this will turn around until then i will not let you down and when you find your ship has run aground you can call me i wont let you down i wont let you down this will turn around i wont let you down i wont let you down you gotta know that thisll turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around oh turn around turn around turn around turn around turn around turn around turn around turn around turn around turn around turn around turn around turn around turn around turn around,turn around
326,Benjamin Gibbard,"Home, Vol 5 EP",Farmer Chords,"I can't begin to compete with you
And everyone knows I know you know it, too
It's a complicated fear
That grows with every year
And it's walking on its own finally
All I can offer are farmer chords
These simple rhymes and you painted in words
You can sing this when alone
Or whistle it through your teeth
And it will feel like home
No matter how far you'll be
From my lonely arms outstretched
Just beyond your reach
Singing ""ooh, baby, please...""
I can't begin to compete with you
And everyone knows I know you know it, too
It's a complicated fear
That grows with every year
And it's walking on its own finally",https://genius.com/Benjamin-gibbard-farmer-chords-lyrics,i cant begin to compete with you and everyone knows i know you know it too its a complicated fear that grows with every year and its walking on its own finally all i can offer are farmer chords these simple rhymes and you painted in words you can sing this when alone or whistle it through your teeth and it will feel like home no matter how far youll be from my lonely arms outstretched just beyond your reach singing ooh baby please i cant begin to compete with you and everyone knows i know you know it too its a complicated fear that grows with every year and its walking on its own finally,farmer chords
315,Benjamin Gibbard,"Home, Vol 5 EP",Choir Vandals,"Burn down like old cathy candles
Marked up with the choir vandals
Reading: destroy destroy destroy
Two-speed cycles streamered handles
Evenings with the roman scandals
I just want to be someone you know...",https://genius.com/Benjamin-gibbard-choir-vandals-lyrics,burn down like old cathy candles marked up with the choir vandals reading destroy destroy destroy twospeed cycles streamered handles evenings with the roman scandals i just want to be someone you know,choir vandals
314,Benjamin Gibbard,"Home, Vol 5 EP",Carolina,"One, two, three

Every scream went bleeding through these paper walls
And all the makeup in the world couldn't hide the scars
I leave today, I'm packing light, a suitcase, some toiletries
The rolling hills and willow trees of Carolina wait for me

You never learned, the rules have changed since we were nine
This isn't school, boys don't assault the girls they like
The taste of blood, the claim of love, these two will here on cease to be
Sprouting from your fists and tongue 'cause Carolina waits for me

Fields of grain go whipping by from the window seat
I'm drifting in, I'm drifting out, catching up on sleep I couldn't get
Indentured since the very crest of seventeen
I left my keys and broken dreams 'cause Carolina waits for me

I will never forgive a single day
Mile markers seem to call my name and say
""You're safer now, through every town
We'll light your way in reflective green all the way""
The entire state of Carolina waits for me",https://genius.com/Benjamin-gibbard-carolina-lyrics,one two three every scream went bleeding through these paper walls and all the makeup in the world couldnt hide the scars i leave today im packing light a suitcase some toiletries the rolling hills and willow trees of carolina wait for me you never learned the rules have changed since we were nine this isnt school boys dont assault the girls they like the taste of blood the claim of love these two will here on cease to be sprouting from your fists and tongue cause carolina waits for me fields of grain go whipping by from the window seat im drifting in im drifting out catching up on sleep i couldnt get indentured since the very crest of seventeen i left my keys and broken dreams cause carolina waits for me i will never forgive a single day mile markers seem to call my name and say youre safer now through every town well light your way in reflective green all the way the entire state of carolina waits for me,carolina
368,Benjamin Gibbard,"Home, Vol 5 EP",You Remind Me Of Home,"1, 2, 3, 4
You remind me of home
The paint cracks when the water leaks
From the rusty pipes that are just beneath my feet
You remind me of home
The heater's warmth that fills the room
With a potpourri of dust and gas fumes
You remind me of home
A broken bed, with dirty sheets
That creaks when I am shifting in my sleep
You remind me of home
In a suburban town, with nothing to do
Patiently waiting for something to happen
But the foundation is crumbling
Becoming one with the ground
While you lay there in slumber
You're wasting your life
Wasting your life
You're wasting your life
Wasting your life
You're wasting you're life
Wasting your life
You're wasting your life
Wasting your life
Wasting your life
Wasting your life
You remind me of home
Sitting on a thrift store couch
I'm trying to get this all down",https://genius.com/Benjamin-gibbard-you-remind-me-of-home-lyrics,1 2 3 4 you remind me of home the paint cracks when the water leaks from the rusty pipes that are just beneath my feet you remind me of home the heaters warmth that fills the room with a potpourri of dust and gas fumes you remind me of home a broken bed with dirty sheets that creaks when i am shifting in my sleep you remind me of home in a suburban town with nothing to do patiently waiting for something to happen but the foundation is crumbling becoming one with the ground while you lay there in slumber youre wasting your life wasting your life youre wasting your life wasting your life youre wasting youre life wasting your life youre wasting your life wasting your life wasting your life wasting your life you remind me of home sitting on a thrift store couch im trying to get this all down,you remind me of home
72,Death Cab for Cutie,I Built You a Tower,Full of Stars,"These days
I say goodbye without opening my mouth
I just stare into the distance til you figure it out
‘Cause I feel
As invested as a border guard
Who's seen too many people leaving
To take it too hard
I’m too tired to talk
I'm too tired to end the war
And I can't seem to hold it together
Anymore
And my Old Haunts
Each one’s a trigger and I'm holding the gun
Like a perp frozen in your headlights
Who forgot to run
And I'm overcome
By the voices multiplying in the crowd
That's been swelling in between my ears
And growing frighteningly loud
I'm too tired to talk
I'm too tired to end the war
And I can't seem to hold it together
Anymore
I'm too tired to start
I can’t bring you up to speed
There’s too many riptides in this ocean
To proceed
And though I'm feeling fine
Roughly half the time
There’s a fatal flaw
In my heart's design
I'm too tired to talk
I'm too tired to end the war
And I can’t seem to hold it together
Anymore
I'm too tired to start
I can't bring you up to speed
There's too many riptides in this ocean
To proceed
There's too many riptides in this ocean
To proceed",https://genius.com/Death-cab-for-cutie-full-of-stars-lyrics,these days i say goodbye without opening my mouth i just stare into the distance til you figure it out cause i feel as invested as a border guard whos seen too many people leaving to take it too hard im too tired to talk im too tired to end the war and i cant seem to hold it together anymore and my old haunts each ones a trigger and im holding the gun like a perp frozen in your headlights who forgot to run and im overcome by the voices multiplying in the crowd thats been swelling in between my ears and growing frighteningly loud im too tired to talk im too tired to end the war and i cant seem to hold it together anymore im too tired to start i cant bring you up to speed theres too many riptides in this ocean to proceed and though im feeling fine roughly half the time theres a fatal flaw in my hearts design im too tired to talk im too tired to end the war and i cant seem to hold it together anymore im too tired to start i cant bring you up to speed theres too many riptides in this ocean to proceed theres too many riptides in this ocean to proceed,full of stars
161,Death Cab for Cutie,I Built You a Tower,Riptides,"These days I say goodbye without opening my mouth
I just stare into the distance 'til you figure it out
'Cause I feel as invested as a border guard
Who's seen too many people leaving to take it to heart

I'm too tired to talk, I'm too tired to end the war
And I can't seem to hold it together anymore

And my old haunts, each one's a trigger and I'm holding the gun
Like a perp frozen in your headlights who forgot to run
And I'm overcome by the voices multiplying in the crowd
It's been swelling in between my ears and growing frighteningly loud

I'm too tired to talk, I'm too tirеd to end the war
And I can't seem to hold it togethеr anymore
I'm too tired to start, I can't bring you up to speed
There's too many riptides in this ocean to proceed

And though I'm feeling fine
Roughly half the time
There's a fatal flaw
In my heart's design


I'm too tired to talk, I'm too tired to end the war
And I can't seem to hold it together anymore
I'm too tired to start, I can't bring you up to speed
There's too many riptides in this ocean to proceed

There's too many riptides in this ocean to proceed",https://genius.com/Death-cab-for-cutie-riptides-lyrics,these days i say goodbye without opening my mouth i just stare into the distance til you figure it out cause i feel as invested as a border guard whos seen too many people leaving to take it to heart im too tired to talk im too tired to end the war and i cant seem to hold it together anymore and my old haunts each ones a trigger and im holding the gun like a perp frozen in your headlights who forgot to run and im overcome by the voices multiplying in the crowd its been swelling in between my ears and growing frighteningly loud im too tired to talk im too tirеd to end the war and i cant seem to hold it togethеr anymore im too tired to start i cant bring you up to speed theres too many riptides in this ocean to proceed and though im feeling fine roughly half the time theres a fatal flaw in my hearts design im too tired to talk im too tired to end the war and i cant seem to hold it together anymore im too tired to start i cant bring you up to speed theres too many riptides in this ocean to proceed theres too many riptides in this ocean to proceed,riptides
25,Death Cab for Cutie,Kintsugi,Binary Sea,"Oh Atlas could not understand
The world was so much smaller than
The one he used to hold before
But the weight it brought him to the floor
As you watched him struggle to his feet
You took photos capturing his defeat
And messaged them to all your friends
And we all laughed at his expense
Oh come my love and swim with me
Out in this vast Binary Sea
Zeros and ones patterns appear
They'll prove to all that we were here
For if there is no document
We cannot build our monument
So look into the lens and
I'll make sure this moment never dies
Oh Atlas could not stay engaged
Was more distracted every day
You slowly fell into disarray
Just trying to think of something to say
For if there is no document
There cannot be a monument
So lean in close or lend an ear
There's something brilliant bound to happen here",https://genius.com/Death-cab-for-cutie-binary-sea-lyrics,oh atlas could not understand the world was so much smaller than the one he used to hold before but the weight it brought him to the floor as you watched him struggle to his feet you took photos capturing his defeat and messaged them to all your friends and we all laughed at his expense oh come my love and swim with me out in this vast binary sea zeros and ones patterns appear theyll prove to all that we were here for if there is no document we cannot build our monument so look into the lens and ill make sure this moment never dies oh atlas could not stay engaged was more distracted every day you slowly fell into disarray just trying to think of something to say for if there is no document there cannot be a monument so lean in close or lend an ear theres something brilliant bound to happen here,binary sea
74,Death Cab for Cutie,Kintsugi,Good Help (Is So Hard to Find),"You'll never have to hear the word ""no""
If you keep all your friends on the payroll
The non-disclosure pages signed
Your secrets safe between those lines

The scaffolding will cheer and console you
But remember what your mother told you
That good help is so hard to find
For people who are so refined

You're trying to turn into the skid
In this never-ending grid

There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
Only a fool would give
Only a fool gives it away

You said you wanna stake out your claim
High above the city from where you came
Don't you know the air's so thin?
It starves the brain of oxygen

I know it's such a dangerous place
For there are more ascensions than there is space
Angels causing accidents
The camera phones'll document

But if I start to levitate
Pull me down with all your weight

There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
Only a fool would give
Only a fool gives it away


You're trying to turn into the skid
In this never-ending grid
But you should know it's not ideal
All those hands upon the wheel

There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
Only a fool would give
Only a fool would give
Only a fool gives this away",https://genius.com/Death-cab-for-cutie-good-help-is-so-hard-to-find-lyrics,youll never have to hear the word no if you keep all your friends on the payroll the nondisclosure pages signed your secrets safe between those lines the scaffolding will cheer and console you but remember what your mother told you that good help is so hard to find for people who are so refined youre trying to turn into the skid in this neverending grid theres a long slow fade to a darkened stage and i hear you say only a fool gives it away only a fool would give only a fool gives it away you said you wanna stake out your claim high above the city from where you came dont you know the airs so thin it starves the brain of oxygen i know its such a dangerous place for there are more ascensions than there is space angels causing accidents the camera phonesll document but if i start to levitate pull me down with all your weight theres a long slow fade to a darkened stage and i hear you say only a fool gives it away only a fool would give only a fool gives it away youre trying to turn into the skid in this neverending grid but you should know its not ideal all those hands upon the wheel theres a long slow fade to a darkened stage and i hear you say only a fool gives it away theres a long slow fade to a darkened stage and i hear you say only a fool gives it away only a fool would give only a fool would give only a fool gives this away,good help (is so hard to find)
30,Death Cab for Cutie,Kintsugi,Black Sun,"There is whiskey in the water
And there is death upon the vine
There is fear in the eyes of your father
And there is ""yours"" and there is ""mine""
There is a desert veiled in pavement
And there's a city of seven hills
All our debris flows to the ocean
To meet again, I hope it will

How could something so fair be so cruel
When this black sun revolved around you?

There is an answer in a question
And there is hope within despair
And there is beauty in a failure
And there are depths beyond compare
There is a role of a lifetime
And there's a song yet to be sung
And there's a dumpster in the driveway
Of all the plans that came undone

How could something so fair be so cruel
When this black sun revolved around you?
How could something so fair be so cruel
When this black sun revolved around you?

There is whiskey in the water
And there is death upon the vine
And there is grace within forgiveness
But it's so hard for me to find

How could something so fair be so cruel
When this black sun revolved around you?
How could something so fair be so cruel
When this black sun revolved around you?",https://genius.com/Death-cab-for-cutie-black-sun-lyrics,there is whiskey in the water and there is death upon the vine there is fear in the eyes of your father and there is yours and there is mine there is a desert veiled in pavement and theres a city of seven hills all our debris flows to the ocean to meet again i hope it will how could something so fair be so cruel when this black sun revolved around you there is an answer in a question and there is hope within despair and there is beauty in a failure and there are depths beyond compare there is a role of a lifetime and theres a song yet to be sung and theres a dumpster in the driveway of all the plans that came undone how could something so fair be so cruel when this black sun revolved around you how could something so fair be so cruel when this black sun revolved around you there is whiskey in the water and there is death upon the vine and there is grace within forgiveness but its so hard for me to find how could something so fair be so cruel when this black sun revolved around you how could something so fair be so cruel when this black sun revolved around you,black sun
58,Death Cab for Cutie,Kintsugi,Everything’s a Ceiling,"Way way down in a hole
There's no feeling
'Cause when you're so far beneath the floor
Everything's a ceiling
We dug it down as deep as we could
Just like we planned it
But when you climbed out, you pulled the ladder
And it left me stranded

So what am I supposed to do?
I'm calling out to you
But you're miles away, it's true
Digging with someone new

So far down in this hole
There's little daylight
I feel the shards of the midday sun
And then it's black as midnight
The only stars I see in the sky
They don't move me
'Cause they've all been dead for millions of years
They're just light diffusing

And a constellation is more
Than the brightest point of its form
But every telescope you assumed
Was pointed only at you

And I've got nowhere to go
Except further below, so I keep digging
And it gets darker every day
But I see no other way than just committing
And if the earth is as round as they say
Then I won't find another place
From where I break back through
That's farther away from you
That's farther away from you


So what am I supposed to do?
I'm calling out to you
But you're miles away, it's true
Digging with someone new
So what am I supposed to do?
I'm calling out to you
But you're miles away, it's true
Digging with someone new
Digging with someone new
Digging with someone new",https://genius.com/Death-cab-for-cutie-everythings-a-ceiling-lyrics,way way down in a hole theres no feeling cause when youre so far beneath the floor everythings a ceiling we dug it down as deep as we could just like we planned it but when you climbed out you pulled the ladder and it left me stranded so what am i supposed to do im calling out to you but youre miles away its true digging with someone new so far down in this hole theres little daylight i feel the shards of the midday sun and then its black as midnight the only stars i see in the sky they dont move me cause theyve all been dead for millions of years theyre just light diffusing and a constellation is more than the brightest point of its form but every telescope you assumed was pointed only at you and ive got nowhere to go except further below so i keep digging and it gets darker every day but i see no other way than just committing and if the earth is as round as they say then i wont find another place from where i break back through thats farther away from you thats farther away from you so what am i supposed to do im calling out to you but youre miles away its true digging with someone new so what am i supposed to do im calling out to you but youre miles away its true digging with someone new digging with someone new digging with someone new,everything’s a ceiling
121,Death Cab for Cutie,Kintsugi,Little Wanderer,"You sent a photo out your window of Tokyo
Told me you were doin' fine
You said the cherry blossoms were bloomin'
And that I was on your mind
But I couldn’t make you out through the glitches
It’s how it always seems to go
So we say our goodbyes over Messenger
As the network overloads
When the network overloads

You’re my wanderer
Little wanderer, off across the sea
You’re my wanderer
Little wanderer, won’t you wander back to me?
Back to me

Always fall asleep when you’re wakin'
I count the hours on my hands
Doin' the math to the time zone you’re at
Is an unseen part of the plan
But if you will be my bluebird returnin'
Then I will be your evergreen
Standin' tall on your horizon
Guiding you home to me
Guiding you home to me

You’re my wanderer
Little wanderer, off across the sea
You’re my wanderer
Little wanderer, won’t you wander back to me?
You’re my wanderer
Little wanderer, how I wish that you could see
Little wanderer, little wanderer
How I need you back with me
Back with me


You sent a photo out your window of Paris
Of what you wish that I could see
But someone’s gotta be the lighthouse
And that someone’s gotta be me
And I hope your absence makes us grow fonder
I hope we always feel the same
When our eyes meet past security
We embrace in the baggage claim
When we kiss in the baggage claim

You’re my wanderer
Little wanderer, off across the sea
You’re my wanderer
Little wanderer, won’t you wander back to me?
You’re my wanderer
Little wanderer, how I wish that you could see
Little wanderer, little wanderer
How I need you back with me
Back with me",https://genius.com/Death-cab-for-cutie-little-wanderer-lyrics,you sent a photo out your window of tokyo told me you were doin fine you said the cherry blossoms were bloomin and that i was on your mind but i couldnt make you out through the glitches its how it always seems to go so we say our goodbyes over messenger as the network overloads when the network overloads youre my wanderer little wanderer off across the sea youre my wanderer little wanderer wont you wander back to me back to me always fall asleep when youre wakin i count the hours on my hands doin the math to the time zone youre at is an unseen part of the plan but if you will be my bluebird returnin then i will be your evergreen standin tall on your horizon guiding you home to me guiding you home to me youre my wanderer little wanderer off across the sea youre my wanderer little wanderer wont you wander back to me youre my wanderer little wanderer how i wish that you could see little wanderer little wanderer how i need you back with me back with me you sent a photo out your window of paris of what you wish that i could see but someones gotta be the lighthouse and that someones gotta be me and i hope your absence makes us grow fonder i hope we always feel the same when our eyes meet past security we embrace in the baggage claim when we kiss in the baggage claim youre my wanderer little wanderer off across the sea youre my wanderer little wanderer wont you wander back to me youre my wanderer little wanderer how i wish that you could see little wanderer little wanderer how i need you back with me back with me,little wanderer
56,Death Cab for Cutie,Kintsugi,El Dorado,"Seems you finally found, finally found El Dorado
Over in Culver City, shining bright, name in lights
And I tried to be hyped for you
Oh I'm trying to be hyped for you

It's kinda like a party that you never wanted to attend
But when an invitation finally arrives you change your mind
And I tried to be hyped for you
Oh I'm trying to be hyped for you
As you slip away behind the gates
Behind the gates


Seems you finally found, finally found El Dorado
So why does it feel underwhelming, barely real?
And I tried to be hyped for you
Oh I'm trying to be hyped for you
As you slip away behind the gates
Behind the gates

El Dorado
El Dorado
El Dorado
El Dorado",https://genius.com/Death-cab-for-cutie-el-dorado-lyrics,seems you finally found finally found el dorado over in culver city shining bright name in lights and i tried to be hyped for you oh im trying to be hyped for you its kinda like a party that you never wanted to attend but when an invitation finally arrives you change your mind and i tried to be hyped for you oh im trying to be hyped for you as you slip away behind the gates behind the gates seems you finally found finally found el dorado so why does it feel underwhelming barely real and i tried to be hyped for you oh im trying to be hyped for you as you slip away behind the gates behind the gates el dorado el dorado el dorado el dorado,el dorado
136,Death Cab for Cutie,Kintsugi,No Room in Frame,"I don’t know where to begin
There’s too many things that I can’t remember
As I disappeared like a trend
In the hum of the five in the early mornin'
And now I'm takin' my time
Up through Coalinga, through the valley
This highway lived in my mind
It takes me back to the place that made me

Was I in your way?
When the cameras turned to face you
No room in frame for two

You cannot outrun a ghost
Speeding southbound lanes with abandon
It catches you on the coast
Or on the cliffs of the Palisades, you killed the engine
And then it hovers above
Reeling bodies failing to discover
The thing they once knew was love
Raising their voices to convince one another

Was I in your way?
When the cameras turned to face you
No room in frame
For two
How can I stay
In the sun, when the rain flows
All through my veins?
It's true

And I guess it's not a failure we could help
And we will both go on to get lonely with someone else
With someone else


Was I in your way?
When the cameras turned to face you
No room in frame
For two
How can I stay
In the sun, when the rain flows
All through my veins?
It's true

And I guess it's not a failure we could help
And we will both go on to get lonely with someone else",https://genius.com/Death-cab-for-cutie-no-room-in-frame-lyrics,i dont know where to begin theres too many things that i cant remember as i disappeared like a trend in the hum of the five in the early mornin and now im takin my time up through coalinga through the valley this highway lived in my mind it takes me back to the place that made me was i in your way when the cameras turned to face you no room in frame for two you cannot outrun a ghost speeding southbound lanes with abandon it catches you on the coast or on the cliffs of the palisades you killed the engine and then it hovers above reeling bodies failing to discover the thing they once knew was love raising their voices to convince one another was i in your way when the cameras turned to face you no room in frame for two how can i stay in the sun when the rain flows all through my veins its true and i guess its not a failure we could help and we will both go on to get lonely with someone else with someone else was i in your way when the cameras turned to face you no room in frame for two how can i stay in the sun when the rain flows all through my veins its true and i guess its not a failure we could help and we will both go on to get lonely with someone else,no room in frame
262,Death Cab for Cutie,Kintsugi,You’ve Haunted Me All My Life,"You've haunted me all my life
Through endless days and countless nights
There was a storm when I was just a kid
Stripped the last coat of innocence

You've haunted me all my life
You're always out of reach when I'm in pursuit
Long-winded then suddenly mute
And there's a flaw in my heart's design
For I keep trying to make you mine

You've haunted me all my life
You've haunted me all my life
You are the mistress I can't make a wife
And you've haunted me all my life

And so I wait, but I never seem to learn
How to capture your diminishing returns
I still see you through the eyes of a child
Not even thinking we could tame the wild

You've haunted me all my life
You've haunted me all my life
You are the mistress I can't make a wife
And you've haunted me all my life

You've haunted me all my life
You've haunted me all my life
You are the mistress I can't make a wife
And you've haunted me all my life",https://genius.com/Death-cab-for-cutie-youve-haunted-me-all-my-life-lyrics,youve haunted me all my life through endless days and countless nights there was a storm when i was just a kid stripped the last coat of innocence youve haunted me all my life youre always out of reach when im in pursuit longwinded then suddenly mute and theres a flaw in my hearts design for i keep trying to make you mine youve haunted me all my life youve haunted me all my life you are the mistress i cant make a wife and youve haunted me all my life and so i wait but i never seem to learn how to capture your diminishing returns i still see you through the eyes of a child not even thinking we could tame the wild youve haunted me all my life youve haunted me all my life you are the mistress i cant make a wife and youve haunted me all my life youve haunted me all my life youve haunted me all my life you are the mistress i cant make a wife and youve haunted me all my life,you’ve haunted me all my life
83,Death Cab for Cutie,Kintsugi,Hold No Guns,"Darling, don't you understand
That there are no winners
Or medals hung from silken strands
To greet you at the finish
As we're dissolving into the sea
I only take what I can carry
As the counsel's combing through our debris
For the treasures we never buried

My love, why do you run?
For my hands hold no guns
Darling, though you may pretend
Pretend that you are selfless
You break with but the slightest bend
And it leaves you lost and helpless
So to whom will you place the call
In the coldest night of winter?
'Cause numbers change and people fall
And friends they always splinter

My love, why do you run?
For my hands hold no guns
My love, why do you run?
For my hands hold no guns
They hold no guns
They hold no guns
No, not a one",https://genius.com/Death-cab-for-cutie-hold-no-guns-lyrics,darling dont you understand that there are no winners or medals hung from silken strands to greet you at the finish as were dissolving into the sea i only take what i can carry as the counsels combing through our debris for the treasures we never buried my love why do you run for my hands hold no guns darling though you may pretend pretend that you are selfless you break with but the slightest bend and it leaves you lost and helpless so to whom will you place the call in the coldest night of winter cause numbers change and people fall and friends they always splinter my love why do you run for my hands hold no guns my love why do you run for my hands hold no guns they hold no guns they hold no guns no not a one,hold no guns
