,band_name,album,song_name,lyrics,genius_url,lyrics_clean,song_lower
246,Death Cab for Cutie,Asphalt Meadows,Wheat Like Waves,"Wheat like waves
The Canadian plains were an ocean wide
Flowing to the sky
With Prefab Sprout
Echoing out of your 90's Accord
With the mismatched doors

Away from the wives
For just a few days
Traveling 'cross the divide
My delusions ablaze
But a homesteader's life
At 45 was just a fleeting dream
There's no way I'd survive

The winters in Saskatchewan are so cold

You talked of your kid
How frightened you'd been when she almost died
With tears in your eyes
But I could not pretеnd
To comprehend the dеpths of that kind of love
As a childless man

And there's so little time
So many miles to drive before the endless sleep
Eventually arrives
But I never would've thought that life was so long
That we'd be growing old
With stories untold

You were kindled by the dials on the dashboard
Your tattoos like the stamps upon your passport
Speeding like we thought we were escaping
From everything we feared that we were breaking
By trying to hold them in our hands


You were kindled by the dials on the dashboard
Your tattoos like the stamps upon your passport
Speeding like we thought we were escaping
From everything we feared that we were breaking
By trying to hold them in our hands",https://genius.com/Death-cab-for-cutie-wheat-like-waves-lyrics,wheat like waves the canadian plains were an ocean wide flowing to the sky with prefab sprout echoing out of your 90s accord with the mismatched doors away from the wives for just a few days traveling cross the divide my delusions ablaze but a homesteaders life at 45 was just a fleeting dream theres no way id survive the winters in saskatchewan are so cold you talked of your kid how frightened youd been when she almost died with tears in your eyes but i could not pretеnd to comprehend the dеpths of that kind of love as a childless man and theres so little time so many miles to drive before the endless sleep eventually arrives but i never wouldve thought that life was so long that wed be growing old with stories untold you were kindled by the dials on the dashboard your tattoos like the stamps upon your passport speeding like we thought we were escaping from everything we feared that we were breaking by trying to hold them in our hands you were kindled by the dials on the dashboard your tattoos like the stamps upon your passport speeding like we thought we were escaping from everything we feared that we were breaking by trying to hold them in our hands,wheat like waves
68,Death Cab for Cutie,Asphalt Meadows,Foxglove Through the Clearcut,"There was a man who used to live by the ocean
But he never set foot in the sea
It made him nervous that the water was always in motion
And he feared the creatures who swam beneath
And when I asked him how he'd ended up there
Above a world he would never know
He said he'd driven all the way across America
And when he got to thе edge, therе was nowhere left to go

Nowhere left to go
Nowhere left to go
Nowhere left to go
Nowhere left to go

He said that nothing lives long, only the earth and the mountains
As he quoted Black Kettle's death song
The words drifting off into the emptiness
Of this great land where we’ve never belonged
And while the frontiers are ever-expanding
Our living rooms fall into disarray
And no one seems interested in fixing what they've broken
They just sweep the pieces into the bushes and slip away

Slowly slip away
Slowly slip away
Slowly slip away
Slowly slip away

And now he and I watch the foxglove grow through the clearcut
Where a forest once grew high and wild
For what is a funeral without flowers
And ten thousand tombstones reaching for the sky

Reaching for the sky
Reaching for the sky
Reaching for the sky
Reaching for the sky",https://genius.com/Death-cab-for-cutie-foxglove-through-the-clearcut-lyrics,there was a man who used to live by the ocean but he never set foot in the sea it made him nervous that the water was always in motion and he feared the creatures who swam beneath and when i asked him how hed ended up there above a world he would never know he said hed driven all the way across america and when he got to thе edge therе was nowhere left to go nowhere left to go nowhere left to go nowhere left to go nowhere left to go he said that nothing lives long only the earth and the mountains as he quoted black kettles death song the words drifting off into the emptiness of this great land where weve never belonged and while the frontiers are everexpanding our living rooms fall into disarray and no one seems interested in fixing what theyve broken they just sweep the pieces into the bushes and slip away slowly slip away slowly slip away slowly slip away slowly slip away and now he and i watch the foxglove grow through the clearcut where a forest once grew high and wild for what is a funeral without flowers and ten thousand tombstones reaching for the sky reaching for the sky reaching for the sky reaching for the sky reaching for the sky,foxglove through the clearcut
210,Death Cab for Cutie,Asphalt Meadows (Acoustic),The Plan,"On the step, you handed me
Pieces of the plan
At the gate, you handed me
Pieces of the plan

Can I hold it
For a week?
Can I hold it
For a week?
Can I hold it
For a week?
Can I hold it
For a week?
Can I hold it?
Can I hold it?
Can I hold it
For a week?",https://genius.com/Death-cab-for-cutie-the-plan-lyrics,on the step you handed me pieces of the plan at the gate you handed me pieces of the plan can i hold it for a week can i hold it for a week can i hold it for a week can i hold it for a week can i hold it can i hold it can i hold it for a week,the plan
332,Benjamin Gibbard,Bandwagonesque,I Don’t Know,"I fell down
Got back up when no one was around
Want you
Want you to tell me what you found
Bend down
Lower than you think I've been
Don't know
Don't know if I know what I need

I know who you are
I know where you've been
I know I don't know
I don't know
I don't know
If I want you

I looked up
Saw you looking down on me
Been here
Isn't where I want to be
You know exactly what you want to do
Don't know what you wanted me to be

I know what you are
I know what I am
I know what you are
I know what I want
I know I don't know
I don't know
I don't know
If I want you",https://genius.com/Benjamin-gibbard-i-dont-know-lyrics,i fell down got back up when no one was around want you want you to tell me what you found bend down lower than you think ive been dont know dont know if i know what i need i know who you are i know where youve been i know i dont know i dont know i dont know if i want you i looked up saw you looking down on me been here isnt where i want to be you know exactly what you want to do dont know what you wanted me to be i know what you are i know what i am i know what you are i know what i want i know i dont know i dont know i dont know if i want you,i don’t know
319,Benjamin Gibbard,Bandwagonesque,December,"I'll take this chance to tell my friends
What I'm thinking of
On second thought
I'll think some more and tell you later on

She don't even care
That I would die for her love

My mind is full of several things
Resembling a thought
I'll take this chance to tell my friends
What I'm thinking of

She don't even care
That I wouldn't die for her love

I've had this plan for many years
But now I can't remember
I wanted to assassinate December
I wanted to assassinate December",https://genius.com/Benjamin-gibbard-december-lyrics,ill take this chance to tell my friends what im thinking of on second thought ill think some more and tell you later on she dont even care that i would die for her love my mind is full of several things resembling a thought ill take this chance to tell my friends what im thinking of she dont even care that i wouldnt die for her love ive had this plan for many years but now i cant remember i wanted to assassinate december i wanted to assassinate december,december
365,Benjamin Gibbard,Bandwagonesque,What You Do To Me,"What you do to me
I know I can't believe
There's something about you
Got me down on my knees
What you do to me
I know I can't believe
There's something about you
Got me down on my knees

What you do to me
What you do to me
What you do to me
What you do to me
What you do to me

I know I can't believe
There's something about you
Got me down on my knees
What you do to me
I know I can't believe
There's something about you
Got me down on my knees

What you do to me
What you do to me
What you do to me
What you do to me
What you do to me
What you do to me
What you do to me
What you do to me",https://genius.com/Benjamin-gibbard-what-you-do-to-me-lyrics,what you do to me i know i cant believe theres something about you got me down on my knees what you do to me i know i cant believe theres something about you got me down on my knees what you do to me what you do to me what you do to me what you do to me what you do to me i know i cant believe theres something about you got me down on my knees what you do to me i know i cant believe theres something about you got me down on my knees what you do to me what you do to me what you do to me what you do to me what you do to me what you do to me what you do to me what you do to me,what you do to me
345,Benjamin Gibbard,Bandwagonesque,Metal Baby,"Metal baby
My metal baby
I'm a mother and she's got me on the run
Metal baby
I met her baby
Got her finger round the trigger of a gun

I'm not the sort of person
She'll admit she knows
She's not the sort of person
Whose driven white as snow

Metal baby
My metal baby
Made me take her to the heavy metal show
Metal baby
My metal baby
Drank her perfume when I didn't want to go

I'm not the sort of person
She'll admit she knows
She's not the sort of person
Whose driven white as snow

Metal baby
My metal baby
I'm not ready to be parting to her plans
Metal baby
My metal baby
Left the city with a heavy metal band

I'm not the sort of person
She'll admit she knows
She's not the sort of person
Whose driven white as snow
So",https://genius.com/Benjamin-gibbard-metal-baby-lyrics,metal baby my metal baby im a mother and shes got me on the run metal baby i met her baby got her finger round the trigger of a gun im not the sort of person shell admit she knows shes not the sort of person whose driven white as snow metal baby my metal baby made me take her to the heavy metal show metal baby my metal baby drank her perfume when i didnt want to go im not the sort of person shell admit she knows shes not the sort of person whose driven white as snow metal baby my metal baby im not ready to be parting to her plans metal baby my metal baby left the city with a heavy metal band im not the sort of person shell admit she knows shes not the sort of person whose driven white as snow so,metal baby
348,Benjamin Gibbard,Bandwagonesque,Pet Rock,"I'll never pass this way again
I'll never pass this way again
When you smile, oh little girl
Sends me wild
I'll never pass this way but do know you exist",https://genius.com/Benjamin-gibbard-pet-rock-lyrics,ill never pass this way again ill never pass this way again when you smile oh little girl sends me wild ill never pass this way but do know you exist,pet rock
355,Benjamin Gibbard,Bandwagonesque,Sidewinder,"Saw you there with long blonde hair
Eyes of blue oh baby I love you
When you're walking I love you more
When you're talking I love your talk
Look so cute behind your kid
Heard some kids but baby you're a hit
When you're rocking I love your rock
When you're ticking I'm your tock

Then again just a thought
Think I might but I'm not

Love your touch, I love your style
Hit the snag you know who makes me smile
When you're walking I love your walk
When you're talking I love your talk
I love you but you can't see
I love you but baby do you agree
When you're rocking I love your rock
When you're ticking I'm your tock

Then again just a thought
Think I might but I'm not

I love your rock
I'm your tock

Then again just a thought
Think I might but I'm not",https://genius.com/Benjamin-gibbard-sidewinder-lyrics,saw you there with long blonde hair eyes of blue oh baby i love you when youre walking i love you more when youre talking i love your talk look so cute behind your kid heard some kids but baby youre a hit when youre rocking i love your rock when youre ticking im your tock then again just a thought think i might but im not love your touch i love your style hit the snag you know who makes me smile when youre walking i love your walk when youre talking i love your talk i love you but you cant see i love you but baby do you agree when youre rocking i love your rock when youre ticking im your tock then again just a thought think i might but im not i love your rock im your tock then again just a thought think i might but im not,sidewinder
357,Benjamin Gibbard,Bandwagonesque,Star Sign,"Hey
There's a horseshoe on my door
Big deal
Can't say
There's a black cat on the floor
Big deal

These things make your day
Well if these things change your day

Do you know where you belong?
Is your star sign ever wrong?
These things change your day
Well if these things make your day
Seen it all before
Seen it all before
In time these things will change

Hey
There's a side of me unknown
Big deal
Can't say
Should this unknown force me to choke
Big deal
These thoughts make your day
Well if these thoughts change your day
I've seen it all before
Seen it all before
In time these things will change
Seen it all before
Seen it all before
In time these things will change
If these things change your day
Well if this song makes your day
Seen it all before
Seen it all before
In time these things will change
Seen it all before
Seen it all before
In time these things will change",https://genius.com/Benjamin-gibbard-star-sign-lyrics,hey theres a horseshoe on my door big deal cant say theres a black cat on the floor big deal these things make your day well if these things change your day do you know where you belong is your star sign ever wrong these things change your day well if these things make your day seen it all before seen it all before in time these things will change hey theres a side of me unknown big deal cant say should this unknown force me to choke big deal these thoughts make your day well if these thoughts change your day ive seen it all before seen it all before in time these things will change seen it all before seen it all before in time these things will change if these things change your day well if this song makes your day seen it all before seen it all before in time these things will change seen it all before seen it all before in time these things will change,star sign
360,Benjamin Gibbard,Bandwagonesque,The Concept,"She wears denim wherever she goes
Says she's gonna get some records by the status quo
Oh, oh yeah
Still she won't be forced against her will
Says she don't do drugs, but she does the pill
Oh, oh yeah

I didn't want to hurt you, oh yeah
I didn't want to hurt you, oh yeah

Says she likes my hair 'cause it's down my back
Says she likes the group 'cause we pull in the slack
Oh, oh yeah
When she's at the gig, she takes her car
And she'll drive us home if there isn't a bar
Oh, oh yeah

I didn't want to hurt you, oh yeah
I didn't want to hurt you, oh yeah


I didn't want to hurt you, oh yeah
I didn't want to hurt you, oh yeah
Oooh, Oooh, Oooh
Oooh, Oooh, Oooh",https://genius.com/Benjamin-gibbard-the-concept-lyrics,she wears denim wherever she goes says shes gonna get some records by the status quo oh oh yeah still she wont be forced against her will says she dont do drugs but she does the pill oh oh yeah i didnt want to hurt you oh yeah i didnt want to hurt you oh yeah says she likes my hair cause its down my back says she likes the group cause we pull in the slack oh oh yeah when shes at the gig she takes her car and shell drive us home if there isnt a bar oh oh yeah i didnt want to hurt you oh yeah i didnt want to hurt you oh yeah i didnt want to hurt you oh yeah i didnt want to hurt you oh yeah oooh oooh oooh oooh oooh oooh,the concept
