band_name,album,song_name,lyrics,genius_url
Death Cab for Cutie,Stubbs the Zombie: The Soundtrack,Earth Angel,"Earth angel, earth angel
Will you be mine?
My darling dear
Love you all the time
I'm just a fool
A fool in love...
With you
Earth angel, earth angel
The one I adore
Love you forever
And ever more
I'm just a fool
A fool in love
With you
I fell for you
And I knew
The vision of your loveliness
I hoped and I prayed
That someday
I'd be the vision
Of your happiness
Earth angel, earth angel
Please be mine
My darling dear
Love you all the time
I'm just a fool
A fool in love
With you
I fell for you
And I knew
The vision of your loveliness
I hope and I pray
That someday
I'd be the vision
Of your happiness
Earth angel, earth angel
Please be mine
My darling dear
Love you all the time
I'm just a fool
A fool in love...
With you",https://genius.com/Death-cab-for-cutie-earth-angel-lyrics
Death Cab for Cutie,Kintsugi,El Dorado,"Seems you finally found, finally found El Dorado
Over in Culver City, shining bright, name in lights
And I tried to be hyped for you
Oh I'm trying to be hyped for you

It's kinda like a party that you never wanted to attend
But when an invitation finally arrives you change your mind
And I tried to be hyped for you
Oh I'm trying to be hyped for you
As you slip away behind the gates
Behind the gates


Seems you finally found, finally found El Dorado
So why does it feel underwhelming, barely real?
And I tried to be hyped for you
Oh I'm trying to be hyped for you
As you slip away behind the gates
Behind the gates

El Dorado
El Dorado
El Dorado
El Dorado",https://genius.com/Death-cab-for-cutie-el-dorado-lyrics
Death Cab for Cutie,Good Music to Lift Los Angeles,Enjoy the Silence (Live),"Words like violence break the silence
Come crashing in into my little world
Painful to me, pierce right through me
Can't you understand? Oh, my little girl

All I ever wanted
All I ever needed is here in my arms
Words are very unnecessary
They can only do harm


Vows are spoken to be broken
Feelings are intense, words are trivial
Pleasures remain, so does the pain
Words are meaningless and forgettable

All I ever wanted
All I ever needed is here in my arms
Words are very unnecessary
They can only do harm


All I ever wanted
All I ever needed is here in my arms
Words are very unnecessary
They can only do harm
All I ever wanted
All I ever needed is here in my arms
Words are very unnecessary
They can only do harm


Enjoy the silence",https://genius.com/Death-cab-for-cutie-and-the-postal-service-enjoy-the-silence-live-lyrics
Death Cab for Cutie,Kintsugi,Everything’s a Ceiling,"Way way down in a hole
There's no feeling
'Cause when you're so far beneath the floor
Everything's a ceiling
We dug it down as deep as we could
Just like we planned it
But when you climbed out, you pulled the ladder
And it left me stranded

So what am I supposed to do?
I'm calling out to you
But you're miles away, it's true
Digging with someone new

So far down in this hole
There's little daylight
I feel the shards of the midday sun
And then it's black as midnight
The only stars I see in the sky
They don't move me
'Cause they've all been dead for millions of years
They're just light diffusing

And a constellation is more
Than the brightest point of its form
But every telescope you assumed
Was pointed only at you

And I've got nowhere to go
Except further below, so I keep digging
And it gets darker every day
But I see no other way than just committing
And if the earth is as round as they say
Then I won't find another place
From where I break back through
That's farther away from you
That's farther away from you


So what am I supposed to do?
I'm calling out to you
But you're miles away, it's true
Digging with someone new
So what am I supposed to do?
I'm calling out to you
But you're miles away, it's true
Digging with someone new
Digging with someone new
Digging with someone new",https://genius.com/Death-cab-for-cutie-everythings-a-ceiling-lyrics
Death Cab for Cutie,Transatlanticism (2013 Reissue),Expo ’86,"Sometimes I think this cycle never ends
We slide from top to bottom, then we turn and climb again
And it seems by the time that I have figured what it's worth
The squeaking of our skin against the steel has gotten worse

But if I move my place in line, I'll lose
And I have waited, the anticipation's got me glued

I am waiting for something to go wrong
I am waiting for familiar resolve

Sometimes it seems that I don't have the skills to recollect
The twists and turns of plot that turned us from lovers to friends
I'm thinking I should take that volume back up off the shelf
And crack its weary spine and read to help remind myself

But if I move my place in line, I'll lose
And I have waited, the anticipation's got me glued

I am waiting for something to go wrong
I am waiting for familiar resolve
I am waiting for another repeat
Another diet fed by crippling defeat
And I am waiting for that sense of relief
I am waiting for you to flee the scene
As if you held in your hand the smoking gun
And on the floor lay the one you said you loved

And it's strange, they're all basically the same
So I don't ask names anymore

Sometimes I think this cycle never ends
We slide from top to bottom, then we turn and climb again
And it seems by the time that I have figured what it's worth
The squeaking of our skin against the steel has gotten worse

The squeaking of our skin against the steel has gotten worse
The squeaking of our skin against the steel has gotten worse",https://genius.com/Death-cab-for-cutie-expo-86-lyrics
Death Cab for Cutie,Transatlanticism (2013 Reissue),Expo ’86 (Demo),"Sometimes, I think this cycle never ends
We slide from top to bottom, and we turn and climb again
And I don't even have the time to figure what it's worth
The squeaking of our skin against the steel is getting worse

But if I move my place in line, I'll lose
And I have waited, the anticipation's got me glued

I am waiting for something to go wrong
I am waiting for familiar resolve

Sometimes, I think that I don't have the skills to recollect
The twists and turns of plot that turned us from lovers to friends
I'm thinking I should take that volume back up off the shelf
And brush off all the dust  and read to help remind myself

But if I move my place in line, I'll lose
And I have waited, the anticipation's got me glued

I am waiting for something to go wrong
I am waiting for familiar resolve
I am waiting for another repeat
As the hours turn to days that turn to weeks
I am waiting for that sense of relief
I am waiting for you to split the scene
And make it just like it was when we were young
Before we knew that this day would ever come

Sometimes, I think this cycle never ends
We slide from top to bottom, and we turn and climb again
And I don't even have the time to figure what it's worth
The squeaking of our skin against the steel is getting worse

The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse
The squeaking of our skin against the steel is getting worse",https://genius.com/Death-cab-for-cutie-expo-86-demo-lyrics
Death Cab for Cutie,Something About Airplanes,Fake Frowns,"Bent at the knees, a last resort
Backfired and made things worse
Once on the bus, it was quite possible
You'd be the jailhouse queen

Jury and judge were screaming to hang
You spat the sweat from brow
He shrugged his shoulders, nothing would work
It had to end right now

I can't drive straight
Counting your fake frowns

Focusing in, details a must
Trying to make each one count
All on your fingers stopping at ten
Magistrate keyed in now

Jury and judge were screaming to hang
You spat the sweat from brow
He shrugged his shoulders, nothing would work
It had to end right now

I can't drive straight
Counting your fake frowns
I can't drive straight
Counting your fake frowns

We can't keep your interest now
Increasing pixels and sound
We can't keep your interest now
Increasing pixels and sound

Jury and judge were screaming to hang
You spat the sweat from brow
He shrugged his shoulders, nothing would work
It had to end right...",https://genius.com/Death-cab-for-cutie-fake-frowns-lyrics
Death Cab for Cutie,The Georgia EP,Fall On Me,"There's the problem, feathers, iron
Bargain buildings, weights and pulleys
Feathers hit the ground
Before the weight can leave the air

Buy the sky and sell the sky
And tell the sky, and tell the sky

Don't fall on me (What is it up in the air for?)
Fall on me (If it's there for long)
Fall on me (It's over, it's over me)

There's the progress
We have found a way to talk around the problem
Building towеrs
Foresight isn't anything at all

Buy the sky and sell thе sky
Bleed the sky, tell the sky

Don't fall on me (What is it up in the air for?)
Fall on me (If it's there for long)
Fall on me (It's over, it's over me)
Fall on me

Well, I would keep it above
But then it wouldn't be sky anymore
So, if I send it to you
You've got to promise to keep it home

Buy the sky and sell the sky
And lift your arms up to the sky
And ask the sky, ask the sky

Don't fall on me (What is it up in the air for?) (It’s gonna fall)
Fall on me (If it's there for long) (It’s gonna fall)
Fall on me (It's over, it's over me) (It’s gonna fall)
Don't fall on me (What is it up in the air for?) (It’s gonna fall)
Fall on me (If it's there for long) (It’s gonna fall)
Fall on me (It's over, it's over me) (It’s gonna fall)
Fall on me
Don't fall on me (What is it up in the air for?) (It’s gonna fall)
Fall on me (If it's there for long) (It’s gonna fall)
Fall on me (It's over, it's over me) (It’s gonna fall)
Fall on me",https://genius.com/Death-cab-for-cutie-fall-on-me-lyrics
Death Cab for Cutie,The Georgia EP,Flirted With You All My Life,"I am a man
I am self-aware
And everywhere I go
You're always right there with me
I flirted with you all my life
Even kissed you once or twice
And to this day I swear it was nice
But, clearly, I was not ready
When you touched a friend of mine
I thought that I would lose my mind
But I found out with time
That, really, I was not ready, no, no
Oh death, oh death
Oh death, really, I’m not ready
Oh death, you hinder me
Death makes those dear to me
Teasе me with your sweet relief
You'rе cool and you are constant
When my mom was cancer sick
She fought but then succumbed to it
But you made her beg for it
""Lord Jesus, please, I'm ready""
Oh death, oh death
Oh death, really, I’m not ready, no, no
Oh death, oh death
Oh death, clearly, I'm not ready",https://genius.com/Death-cab-for-cutie-flirted-with-you-all-my-life-lyrics
Death Cab for Cutie,You Can Play These Songs with Chords,Flustered/Hey Tomcat!,"Once when my folks were gone
I saw a lot of liquor
I saw my tomcat
Famose
I saw my tomcat
What?
Tomcat
What?
My tomcat
Tomcat
I saw a bowl of milk
And I said
""Hey""
What?
I got news for you
That's weird
I got news for you
I got news
10, 5, 0 meters
I think it's, um . 
I like the beat a lot
And I like the pool
And I can dance around the room
And I
Tomcat
Hello, tomcat
News for you
What, tomcat?
News for you
What, tomcat?
As you're listening to heart sounds
And murmurs
Instead of using words to
Describe them
It's somewhat like eating an apple
And trying to describe how it tastes
What
Tomcat
So what?
The LSD
What?
I'm unsure
I got news for you
Some kind of LSD
Sure enough, I'll come
Tomcat
And I'm sure
The rumors
I got news for you
Hey, tomcat
And I'm sure the rumors
What, tomcat?
And I'm sure the box I
And I'm sure the box
Some kind of L word
One of the LS words
What the LS?
The L word
The LSD pill and the cat
What is going on, motherfucker?
No, no
Ba-ba-ba-ba-ba-ba-ba-ba
There's salt
Ba-ba-ba-ba-ba-ba-ba-ba
You're so flustered
Ba-ba-ba-ba-ba-ba-ba-ba
You're so flustered
I excel at stone
When given the exposed
I am Brian",https://genius.com/Death-cab-for-cutie-flustered-hey-tomcat-lyrics
Death Cab for Cutie,"Yes, I’m a Witch Too",Forgive Me My Love,"Forgive me, my love
For hiding my soul from you
It seems easier for us
If I don't show all of myself
How am I gonna tell you how I miss you?
How am I gonna tell you how I need you?
Through pride and hurt and love and fear
We lay an ocean between us
Forgive me, my love
For closing my eyes to our love
It seems easier for us
If we thought this was just a play
How am I gonna tell you how I miss you?
How am I gonna tell you how I need you?
Through pride and hurt and love and fear
We hold an ocean inside us
Let me take your hand
And press it on my breast
And you will know that
The ocean is for you",https://genius.com/Death-cab-for-cutie-forgive-me-my-love-lyrics
Death Cab for Cutie,,Fortunate Son (feat. Sean Nelson),"Some folks are born made to wave the flag
Ooh, they're red, white and blue
And when the band plays ""Hail to the Chief""
Oh, they point the cannon at you, Lord
It ain't me, it ain't me
I ain't no Senator's son
It ain't me, it ain't me
I ain't no fortunate one, no
Some folks are born silver spoon in hand
Lord, don't they help themselves, oh
But when the tax men come to the door
Lord, the house look a like a rummage sale, yes
It ain't me, it ain't me
I ain't no millionaire's son, no, no
It ain't me, it ain't me
I ain't no fortunate one, no
Yeah, some folks inherit star spangled eyes
Ooh, they send you down to war, Lord
And when you ask them, ""How much should we give?""
Oh, they only answer, more, more, more, yoh
It ain't me, it ain't me
I ain't no military son
It ain't me, it ain't me
I ain't no fortunate one
It ain't me, it ain't me
I ain't no fortunate one, no, no, no
It ain't me, it ain't me
I ain't no fortunate son, no, no",https://genius.com/Death-cab-for-cutie-fortunate-son-feat-sean-nelson-lyrics
Death Cab for Cutie,We Have the Facts and We’re Voting Yes,For What Reason,"This won't be the last you hear from me
It's just the start
I hope that he keeps you up for weeks
Like you did to me
I will hold a candle up to you
To singe your skin
Brace yourself, I'm bent with bitterness
And can't foresee

When your apologies fail to ring true
So slick with that sarcastic slew
Of phrases like, ""I thought you knew""
While keeping me in hot pursuit

Tracing the plot finds
Skin touching skin
Absence follows

In the end, I win every time
As ink remains
Sour tastes prevail as you play back
The tape machine

When your apologies fail to ring true
So slick with that sarcastic slew
Of phrases like, ""I thought you knew""
While keeping me in such hot pursuit

Tracing the plot finds
Skin touching skin
Absence follows",https://genius.com/Death-cab-for-cutie-for-what-reason-lyrics
Death Cab for Cutie,Asphalt Meadows,Foxglove Through the Clearcut,"There was a man who used to live by the ocean
But he never set foot in the sea
It made him nervous that the water was always in motion
And he feared the creatures who swam beneath
And when I asked him how he'd ended up there
Above a world he would never know
He said he'd driven all the way across America
And when he got to thе edge, therе was nowhere left to go

Nowhere left to go
Nowhere left to go
Nowhere left to go
Nowhere left to go

He said that nothing lives long, only the earth and the mountains
As he quoted Black Kettle's death song
The words drifting off into the emptiness
Of this great land where we’ve never belonged
And while the frontiers are ever-expanding
Our living rooms fall into disarray
And no one seems interested in fixing what they've broken
They just sweep the pieces into the bushes and slip away

Slowly slip away
Slowly slip away
Slowly slip away
Slowly slip away

And now he and I watch the foxglove grow through the clearcut
Where a forest once grew high and wild
For what is a funeral without flowers
And ten thousand tombstones reaching for the sky

Reaching for the sky
Reaching for the sky
Reaching for the sky
Reaching for the sky",https://genius.com/Death-cab-for-cutie-foxglove-through-the-clearcut-lyrics
Death Cab for Cutie,Asphalt Meadows (Acoustic),Foxglove Through The Clearcut (Acoustic),"There was a man who used to live by the ocean
But he never set foot in the sea
It made him nervous that the water was always in motion
And he feared the creatures who swam beneath
And when I asked him how he'd ended up there
Above a world he would never know
He said he'd driven all the way across America
And when he got to the edge there was nowhere left to go

Nowhere left to go
Nowhere left to go
Nowhere left to go
Nowhere left to go

He said that ""Nothing lives long, only the earth and the mountains""
As he quoted Black Kettle's death song
The words drifting off into the emptiness
Of this great land where we've never belonged
And while the frontiers are ever-expanding
Our living rooms fall into disarray
And no one seems interested in fixing what they've broken
They just sweep the pieces into the bushes and slip away

Slowly slip away
Slowly slip away
Slowly slip away
Slowly slip away

And now he and I watch the foxglove grow through the clearcut
Where a forest once grew high and wild
For what is a funeral without flowers?
And ten thousand tombstones reaching for the sky

Reaching for the sky
Reaching for the sky
Reaching for the sky
Reaching for the sky",https://genius.com/Death-cab-for-cutie-foxglove-through-the-clearcut-acoustic-lyrics
Death Cab for Cutie,Asphalt Meadows,Fragments From the Decade,"Fragments from the decade are splayed out on your floor
Like hundreds of locked doors
There's a story that you're trying to find
But the pieces don't fit together in your mind

Your mother was a drunkard
Your father was not a saint
Your sister lacked restraint
And in photos you were always staring through the lens
To some distant place you would rather have been

Days are lonely and long
Walking in place where you don't belong
Here on paved native lands
Time disappears from the palms of your hands


Fragments from the decade are dancing in the fire
Like marionettes on wires
And if you stare too long they almost
Seem alive
Too beautiful and helpless to survive

Days are lonely and long
Walking in place where you don't belong
Here on paved native lands
Time disappears from the palms of your hands
(Time disappears from the palms of your hands)
(Time disappears from the palms of your hands)",https://genius.com/Death-cab-for-cutie-fragments-from-the-decade-lyrics
Death Cab for Cutie,Asphalt Meadows (Acoustic),Fragments From the Decade (Acoustic),"Fragments from the decade are splayed out on your floor
Like hundreds of locked doors
And there is a story that you're trying to find
But the pieces don't fit together in your mind

Your mother was a drunkard, your father was not a saint
And your sister lacked restraint
And in photos you were always staring through the lens
To some distant place you would rather have been

Days are lonely and long
Walking in place where you don't belong
Here on paved native lands
Time disappears from the palms of your hands

Fragments from the decade are dancing in the fire
Like marionettes on wires
And if you stare too long they almost seem alive
Too beautiful and helpless to survive

Days are lonely and long
Walking in place where you don't belong
Here on paved native lands
Time disappears from the palms of your hands

Time disappears from the palms of your hands
Time disappears from the palms of your hands",https://genius.com/Death-cab-for-cutie-fragments-from-the-decade-acoustic-lyrics
Death Cab for Cutie,I Built You a Tower,Full of Stars,"These days
I say goodbye without opening my mouth
I just stare into the distance til you figure it out
‘Cause I feel
As invested as a border guard
Who's seen too many people leaving
To take it too hard
I’m too tired to talk
I'm too tired to end the war
And I can't seem to hold it together
Anymore
And my Old Haunts
Each one’s a trigger and I'm holding the gun
Like a perp frozen in your headlights
Who forgot to run
And I'm overcome
By the voices multiplying in the crowd
That's been swelling in between my ears
And growing frighteningly loud
I'm too tired to talk
I'm too tired to end the war
And I can't seem to hold it together
Anymore
I'm too tired to start
I can’t bring you up to speed
There’s too many riptides in this ocean
To proceed
And though I'm feeling fine
Roughly half the time
There’s a fatal flaw
In my heart's design
I'm too tired to talk
I'm too tired to end the war
And I can’t seem to hold it together
Anymore
I'm too tired to start
I can't bring you up to speed
There's too many riptides in this ocean
To proceed
There's too many riptides in this ocean
To proceed",https://genius.com/Death-cab-for-cutie-full-of-stars-lyrics
Death Cab for Cutie,Thank You for Today,Gold Rush,"(Gold rush) Digging for gold in my neighborhood
(Gold rush) Where all the old buildings stood
(Gold rush) And they keep digging it down and down
(Gold rush) So that their cars can live underground
(Gold rush) The swinging of a wrecking ball
(Gold rush) Through these lath and plaster walls
(Gold rush) Is letting all the shadows free
(Gold rush) The ones I wish still followed me

(Change) Followed me, followed me
(Please don't change)
(Stay) Followed me, followed me
(Stay the same)

(Gold rush) I remember a winter's night
(Gold rush) We kissed beneath the street lamp light
(Gold rush) Outside our bar near the record store
(Gold rush) That have been condos for a year and more
(Gold rush) Now that our haunts have taken flight
(Gold rush) And been replaced with construction sites
(Gold rush) Oh, how I feel like a stranger here
(Gold rush) Searching for something that's disappeared

(Gold rush) Digging for gold in my neighborhood
(Gold rush) For what they say is the greater good
(Gold rush) But all I see is a long goodbye
(Gold rush) A requiem for a skyline
(Gold rush) It seems I never stopped losing you
(Gold rush) As every dive becomes something new
(Gold rush) And all our ghosts get swept away
(Gold rush) It didn't use to be this way

(Change) Be this way, be this way
(Please don't change)
(Stay) Be this way, be this way
(Stay the same)
(Cranes) Be this way, be this way
(Devour the light)
(Strange) Be this way, be this way
(Appetite)

I've ascribed these monuments
A false sense of permanence
I've placed faith in geography
To hold you in my memory
(Gold rush) I'm sifting through these wreckage piles
(Gold rush) Through the rubble of bricks and wires
(Gold rush) Looking for something I'll never find
(Gold rush) Looking for something I'll never find

(Gold rush) Digging for gold in my neighborhood
(Gold rush) Where all the old buildings stood
(Gold rush) And they keep digging it down and down
(Gold rush) So that their cars can live underground
(Gold rush) It seems I never stopped losing you
(Gold rush) As every dive becomes something new
(Gold rush) And all our ghosts get swept away
(Gold rush) It didn't use to be this way

Change
(Gold rush) It didn't use to be this way
(Gold rush) It didn't use to be this way
Please don't change
(Gold rush) It didn't use to be this way
(Gold rush) It didn't use to be this way
Stay, stay the same
(Gold rush)
It didn't use to be this way
(Gold rush)
It didn't use to be this way
Stay the same
(Gold rush) It didn't use to be this way
(Gold rush) It didn't use to be this way
Change
(Gold rush)
(Gold rush)
Please don't change
(Gold rush)
(Gold rush)
Stay
(Gold rush)
(Gold rush)
Stay the same",https://genius.com/Death-cab-for-cutie-gold-rush-lyrics
Death Cab for Cutie,Kintsugi,Good Help (Is So Hard to Find),"You'll never have to hear the word ""no""
If you keep all your friends on the payroll
The non-disclosure pages signed
Your secrets safe between those lines

The scaffolding will cheer and console you
But remember what your mother told you
That good help is so hard to find
For people who are so refined

You're trying to turn into the skid
In this never-ending grid

There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
Only a fool would give
Only a fool gives it away

You said you wanna stake out your claim
High above the city from where you came
Don't you know the air's so thin?
It starves the brain of oxygen

I know it's such a dangerous place
For there are more ascensions than there is space
Angels causing accidents
The camera phones'll document

But if I start to levitate
Pull me down with all your weight

There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
Only a fool would give
Only a fool gives it away


You're trying to turn into the skid
In this never-ending grid
But you should know it's not ideal
All those hands upon the wheel

There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
There's a long, slow fade
To a darkened stage
And I hear you say
""Only a fool gives it away""
Only a fool would give
Only a fool would give
Only a fool gives this away",https://genius.com/Death-cab-for-cutie-good-help-is-so-hard-to-find-lyrics
Death Cab for Cutie,Narrow Stairs ,Grapevine Fires,"When the wind picked up, the fire spread
And The Grapevine seemed left for dead
And the northern sky looked like the end of days
The end of days
The wake-up call to a rented room
Sounded like an alarm of impending doom
To warn us it's only a matter of time

Before we all burn
Before we all burn
Before we all burn
Before we all burn

We bought some wine and some paper cups
Near your daughter's school when we picked her up
And drove to a cemetery on a hill
On a hill
And we watched the plumes paint the sky gray
As she laughed and danced through the field of graves
There, I knew it would be alright
That everything

Would be alright
Would be alright
Would be alright
Would be alright

And the news reports on the radio said it was getting worse
As the ocean air fanned the flames
But I couldn't think of anywhere I would've rather been
To watch it all burn away

To burn away
Burn
Burn
Burn

The firemen worked in double shifts
With prayers for rain on their lips
And they knew it was only a matter of time",https://genius.com/Death-cab-for-cutie-grapevine-fires-lyrics
Death Cab for Cutie,,Grapevine fires - kfog private concert,"When the wind picked up, the fire spread
And the grapevine seemed left for dead
And the northern sky looked like the end of days
The end of days
The wake-up call to a rented room
Sounded like an alarm of impending doom
To warn us it's only a matter of time
Before we all burn
Before we all burn
Before we all burn
Before we all burn
We bought some wine and some paper cups
Near your daughter's school when we picked her up
And drove to a cemetery on a hill
On a hill
And we watched the plumes paint the sky gray
As she laughed and danced through the field of graves
There I knew it would be alright
That everything would be alright
Would be alright
Would be alright
Would be alright
And the news reports on the radio said it was getting worse
As the ocean air fanned the flames
But I couldn't think of anywhere I would've rather been
To watch it all burn away, to burn away

The firemen worked in double shifts
With prayers for rain on their lips
And they knew it was only a matter of time",https://genius.com/Death-cab-for-cutie-grapevine-fires-kfog-private-concert-lyrics
Death Cab for Cutie,,Grapevine fires - live from las vegas at the palms,"When the wind picked up, the fire spread
And the grapevine seemed left for dead
And the northern sky looked like the end of days
The end of days
The wake-up call to a rented room
Sounded like an alarm of impending doom
To warn us it's only a matter of time
Before we all burn
Before we all burn
Before we all burn
Before we all burn
We bought some wine and some paper cups
Near your daughter's school when we picked her up
And drove to a cemetery on a hill
On a hill
And we watched the plumes paint the sky gray
As she laughed and danced through the field of graves
There I knew it would be alright
That everything would be alright
Would be alright
Would be alright
Would be alright
And the news reports on the radio said it was getting worse
As the ocean air fanned the flames
But I couldn't think of anywhere I would've rather been
To watch it all burn away, to burn away
Burn
Burn
Burn
The firemen worked in double shifts
With prayers for rain on their lips
And they knew it was only a matter of time",https://genius.com/Death-cab-for-cutie-grapevine-fires-live-from-las-vegas-at-the-palms-lyrics
Death Cab for Cutie,,Grapevine Fires (radio edit),"When the wind picked up, the fire spread
And the grapevine seemed left for dead
And the northern sky looked like the end of days
The end of days
The wake-up call to a rented room
Sounded like an alarm of impending doom
To warn us it's only a matter of time
Before we all burn
Before we all burn
Before we all burn
Before we all burn
We bought some wine and some paper cups
Near your daughter's school when we picked her up
And drove to a cemetery on a hill
On a hill
And we watched the plumes paint the sky gray
As she laughed and danced through the field of graves
There I knew it would be alright
That everything would be alright
Would be alright
Would be alright
Would be alright
And the news reports on the radio said it was getting worse
As the ocean air fanned the flames
But I couldn't think of anywhere I would've rather been
To watch it all burn away, to burn away
Burn
Burn
Burn
The firemen worked in double shifts
With prayers for rain on their lips
And they knew it was only a matter of time",https://genius.com/Death-cab-for-cutie-grapevine-fires-radio-edit-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),Gridlock Caravans,"Starched white shirts, so neatly pressed by domestic muses
Feed delusions that everything is working out right
But your ribs can't withstand increasing weight
As your heart gets heavier and sooner or later
It falls to the tips of your toes
And every day tastes like inhaling
When you just lit the wrong end (that plastic burning scent)
Your only friends are on the exit ramps of gridlock caravans
You try to ask how they've been
But the metal and glass is too thick",https://genius.com/Death-cab-for-cutie-gridlock-caravans-lyrics
Death Cab for Cutie,Asphalt Meadows,Here to Forever,"In every movie I watch from the fifties
There's only one thought that swirls around my head now
And that's that everyone there on the screen
Yeah, everyone there on the screen, well, they're all dead now
They're all dead now
And it ain't easy living above
And I can't help but keep falling in love with bones and ashes
With bones and ashes
And when the color is too bold and bright
I'm daydreaming in black and white until it passes
Until it passеs

I wanna know the measure from hеre to forever
And I wanna feel the pressure of God or whatever

Oh, these days, it's so hard to relax
You gotta hold a gun to my back to make me smile
To make me smile
And the only way I seem to cope
Is by trying to hold on to hope if just for a while
If just for a while

I wanna know the measure from here to forever
And I wanna feel the pressure of God or whatever
Now it seems more than ever there's no hands on the levers
And I wanna feel the pressure of God or whatever

Only rollers keep rolling
While the searchers keep scrolling


I wanna know the measure from here to forever
And I wanna feel the pressure of God or whatever
Now it seems more than ever there's no hands on the levers
And I wanna feel the pressure of God or whatever
Or whatever",https://genius.com/Death-cab-for-cutie-here-to-forever-lyrics
Death Cab for Cutie,Asphalt Meadows (Acoustic),Here To Forever (Acoustic),"In every movie I watch from the fifties
There's only one thought that swirls around my head now
And that's that everyone there on the screen
Yeah, everyone there on the screen, well, they're all dead now
They're all dead now
And it ain't easy living above
And I can't help but keep falling in love with bones and ashes
With bones and ashes
And when the color is too bold and bright
I'm daydreaming in black and white until it passes
Until it passеs

I wanna know the measure from hеre to forever
And I wanna feel the pressure of God or whatever

Oh, these days, it's so hard to relax
You gotta hold a gun to my back to make me smile
To make me smile
And the only way I seem to cope
Is by trying to hold on to hope if just for a while
If just for a while

I wanna know the measure from here to forever
And I wanna feel the pressure of God or whatever
And now it seems more than ever there's no hands on the levers
And I wanna feel the pressure of God or whatever

Holy rollers keep rolling
While the searchers keep scrolling

I wanna know the measure from here to forever
And I wanna feel the pressure of God or whatever
And now it seems more than ever there's no hands on the levers
And I wanna feel the pressure of God or whatever

Or whatever",https://genius.com/Death-cab-for-cutie-here-to-forever-acoustic-lyrics
Death Cab for Cutie,iTunes Originals – Death Cab for Cutie,Hindsight,"Three wasted years, standing still
As you opened up, eighteen miles wide
On this country drive
I can't keep up 'cause you're so far gone
And it's all too much hindsight
Three wasted years, wasting time
As the hunger pains grow inside
I can't keep up 'cause you're so far gone
And it's all too much hindsight
I can't keep up 'cause you're so far gone
And it's all too much in hindsight
I can't keep up 'cause you're so far gone
And it's all too much in hindsight",https://genius.com/Death-cab-for-cutie-hindsight-lyrics
Death Cab for Cutie,Kintsugi,Hold No Guns,"Darling, don't you understand
That there are no winners
Or medals hung from silken strands
To greet you at the finish
As we're dissolving into the sea
I only take what I can carry
As the counsel's combing through our debris
For the treasures we never buried

My love, why do you run?
For my hands hold no guns
Darling, though you may pretend
Pretend that you are selfless
You break with but the slightest bend
And it leaves you lost and helpless
So to whom will you place the call
In the coldest night of winter?
'Cause numbers change and people fall
And friends they always splinter

My love, why do you run?
For my hands hold no guns
My love, why do you run?
For my hands hold no guns
They hold no guns
They hold no guns
No, not a one",https://genius.com/Death-cab-for-cutie-hold-no-guns-lyrics
Death Cab for Cutie,Codes and Keys,Home Is a Fire,"Sleep, sleep with the lights on
Shuttered with shades drawn
There's too many windows
Noise, cars on the freeway
Attempting a clean break
There's nowhere left to go
Watching the roots weave
Through cracks in the concrete

Plates, they will shift
Houses will shake
Fences will droop
We will awake
Only to find
Nothing's the same
Nothing's the same

Home, home is a fire
Burning reminder
Of where we belong, love
With walls built up around us
The bricks make me nervous
They're only so strong, love
They're only so strong, love

Plates, they will shift
Houses will shake
Fences will droop
We will awake
Only to find
Nothing's the same
Nothing's the same
Nothing's the same
Nothing's the same
As yesterday
As yesterday",https://genius.com/Death-cab-for-cutie-home-is-a-fire-lyrics
Death Cab for Cutie,,Home Is a Fire (Ulrich Schnauss remix),"Sleep
Sleep with the lights on
Shuttered with shades drawn
There's too many windows
Noise
Cars on the freeway
Tempting a clean break
But there's nowhere left to go
Watching the roots weave
Through cracks in the concrete
Plates they will shift
Houses will shake
Fences will drift
We will awake
Only to find
Nothing's the same
Nothing's the same
Home
Home is a fire
A burning reminder
Of where we belong, love
With walls
Built up around us
The bricks make me nervous
They're only so strong, love
Yes they're only so strong, love
Plates they will shift
Houses will shake
Fences will drift
We will awake
Only to find
Nothing's the same
Nothing's the same
Nothing's the same
Nothing's the same
As yesterday
As yesterday",https://genius.com/Death-cab-for-cutie-home-is-a-fire-ulrich-schnauss-remix-lyrics
