band_name,album,song_name,lyrics,genius_url
Death Cab for Cutie,The Photo Album (Deluxe Edition),All Is Full of Love,"You'll be given love
You'll be taken care of
You'll be given love
You have to trust it

Maybe not from the sources
You have poured yours
Maybe not from the direction
You are staring at

Twist your head around
It's all around you
All is full of love
All around you

(All is full of love)
You just ain't receiving
(All is full of love)
Your phone is off the hook
(All is full of love)
Your doors are all shut
(All is full of love)

In any language
(All is full of love)
All is full of love
(All is full of love)
All is full of love
(All is full of love)
Yeah, yeah

All is full of love
All is full of love
All is full of love
All is full of love",https://genius.com/Death-cab-for-cutie-all-is-full-of-love-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),A Movie Script Ending,"Whenever I come back
The air on Railroad is making the same sounds
And the shop fronts on Holly are dirty words
Asterisks in for the vowels
We peered through the windows
New bottoms on barstools, but the people remain the same
With prices inflating
Inflating
As if saved from the gallows
There's a bellow of buzzers
And people stop working
And they're all so excited, excited

Passing through unconscious states
When I awoke, I was on
The highway, highway
Highway, highway

With your hands on my shoulders
A meaningless movement, a movie script ending
And the patrons are leaving
Leaving

Passing through unconscious states
When I awoke, I was on
The highway, highway
Highway, highway
Highway, highway
Highway, highway

And now, we all know the words were true
In the sappiest songs, yes, yes
I'll put them to bed, but they won't sleep
Just shuffling the sheets to toss and turn
You can't begin to get it back

Passing through unconscious states
When I awoke, I was on
The onset of a later stage
The headlights are beacons on
The highway, highway
Highway, highway
Highway, highway
Highway, highway",https://genius.com/Death-cab-for-cutie-a-movie-script-ending-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),A Movie Script Ending (Acoustic),"Whenever I come back
The air on Railroad is making the same sounds
And the shop fronts on Holly are dirty words
Asterisks in for the vowels
When we peered through the windows
New bottoms on barstools, but the people remain the same
With prices inflating
Inflating

As if saved from the gallows
There's a bellow of buzzers
And people stop working
And they're all so excited, excited

Passing through unconscious states
When I awoke, I was on
The highway, highway
Highway, highway

With your hands on my shouldеrs
A meaningless movemеnt, a movie script ending
And the patrons are leaving
Leaving

Passing through unconscious states
When I awoke and I was on
The highway, highway
Highway, highway
Highway, highway
Highway, highway

And now we all know the words were true
In the sappiest songs, yes, yes
And I'll put them to bed, but they won't sleep
Just shuffling the sheets to toss and turn
You can't begin to get it back

Three, four, five, six

Passing through unconscious states
When I awoke and I was on
The onset of a later stage
The headlights are beacons on
The highway, highway
Highway, highway
Highway, highway
Highway, highway",https://genius.com/Death-cab-for-cutie-a-movie-script-ending-acoustic-lyrics
Death Cab for Cutie,The Photo Album (Deluxe Edition),A Movie Script Ending (Band Demo),"Whenever I come back
The air on Railroad is making the same sounds
And the shop fronts on Holly are dirty words
Asterisks in for the vowels
When we peered through the windows
New bottoms on barstools, but the people remain the same
With prices inflating
Inflating

As if saved from the gallows
There's a bellow of buzzers
And people stop working
And they're all so excited, excited

Passing through unconscious states
When I awoke, I was on
The highway, highway
Highway, highway

With your hands on my shoulders
A meaningless movement, a movie script ending
And the patrons are leaving
Leaving

Passing through unconscious states
When I awoke, I was on
The highway, highway
Highway, highway
Highway, highway
Highway, highway

And now we all know the words were true
In the sappiest songs, yes, yes
And I'll put them to bed, but they won't sleep
Shuffling the sheets to toss and turn
You can't begin to get it back

Passing through unconscious states
When I awoke, I was on
The onset of a later stage
The headlights are beacons on
The highway, highway
Highway, highway
Highway, highway
Highway, highway",https://genius.com/Death-cab-for-cutie-a-movie-script-ending-band-demo-lyrics
Death Cab for Cutie,You Can Play These Songs with Chords,Amputations,"""If we seem nutty to you
And if we seem like an oddball to you
Just remember one thing
The mighty oak tree
Was once a nut just like me""

And if it was just how you wanted
You'd be glued to his bones and his brainstem
And changing your image and attitudes
Won't bring him back into your bedroom

Amputating
As he's waiting
Amputating
He's unresponsive cause you're irresponsible

Little swinger, your bottle is thinking too much
Cause you're aiming to please way off target
And I'll tell you what you must already know
Of amputating that too slow

Amputating
As he's waiting
Amputating
He's unresponsive cause you're irresponsible
Amputating
As he's waiting
Amputating
He's unresponsive cause you're irresponsible

Amputating
As he's waiting
Amputating
He's unresponsive cause you're irresponsible

""I pray to God that one day, He will grant me the power
To reach out and hold my hand over your head
And give you instant belief, cause you don't have instant belief
You've been hooked, you've been crooked
You've been lied to so many times, that you're suspicious-minded
And when the right thing comes along, you don't believe in it
When I'm coming in knocking on the front door
You're out the back door looking for four leaf clovers
And when you find it, you think somebody planted it there to fool you
'What's the angle?' You look for an excuse
In this modern day and age we have instant coffee and instant tea
Instant disbelief, that's the reason we will never become anything
It is because we will never believe in ourselves
We will always listen to the mass majority
If everybody's making fun of you and criticizing you
Then you know you're on the right track
'Cause most people ain't got it""",https://genius.com/Death-cab-for-cutie-amputations-lyrics
Death Cab for Cutie,An Arrow in the Wall,An Arrow in the Wall,"My heart runs on gasoline vapors
The thousand drums waking up the neighbors
But I can feel the fissures in the freeways
The rusted steel, deception in the handshakes
In the handshakes

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning

This machine was built to be broken
The strip mall teens were sniffing and swollen
And I could not run fast enough to flee them
There's more than one way to get your freedom
To get your freedom

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning
Take it as a warning
Take it as a warning
Take it as a warning

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning
Take it as a warning
Take it as a warning
Take it as a warning",https://genius.com/Death-cab-for-cutie-an-arrow-in-the-wall-lyrics
Death Cab for Cutie,An Arrow in the Wall,An Arrow in the Wall (CHVRCHES Remix),"My heart runs on gasoline vapors
The thousand drums waking up the neighbors
But I can feel the fissures in the freeways
The rusted steel, deception in the handshakes
In the handshakes

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning

This machine was built to be broken
The strip mall teens were sniffing and swollen
And I could not run fast enough to flee them
There’s more than one way to get your freedom
To get your freedom

An arrow in the wall, arrow in the wall
Take it as a warning
That you arе gonna fall, you are gonna fall
Even if you're soaring
An arrow in thе wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you're soaring
Take it as a warning
Take it as a warning
Take it as a warning
Take it as a warning

An arrow in the wall, arrow in the wall
Take it as a warning
That you are gonna fall, you are gonna fall
Even if you’re soaring
Take it as a warning
Take it as a warning
Take it as a warning
Take it as a warning",https://genius.com/Death-cab-for-cutie-an-arrow-in-the-wall-chvrches-remix-lyrics
Death Cab for Cutie,iTunes Originals – Death Cab for Cutie,An Early Heartbreak Song,I was seeing a girlfriend for a while who we went to school together but she her parents like lives off of I-5 and I think there’s a 405 in Portland and not one in San Francisco but then there a 405 anywhere there’s you know a Beltway around I-5. For me that song was kind of you know in early heartbreak kind of song you know. I remember making that drive from Bellingham to a little city off the 405 with great anticipation and excitement and then as then you know that relationship fell apart you know I felt I wanted to document in some ways so.  I think when we were making the first record Chris had a 4 track so I pulled his 4 track out and just did a version of that song and just did a version of that song just with two guitars and two vocals this really pretty straightforward.  And then when we were putting together the track listing for this forbidden love EP.  We were just looking at what we had laying around like bits and pieces here and there and that just kinda of came up and we all listened to it is like yeah that be a good thing to put on the EP because it’s a perfect song to for an EP.  It’s an alternate version of the song that exists on a record but it's different and people who have into that kind of thing will probably enjoy it,https://genius.com/Death-cab-for-cutie-an-early-heartbreak-song-lyrics
Death Cab for Cutie,You Can Play These Songs with Chords,Army Corps of Architects,"Leaving the central states for shallow ground
Home in the valley but the rent's paid south
You said the urn was half full when I said it was half empty
With what was left of our fair city
Call in the army corps of architects
To flatten the skyline and begin again
I knew the years would move quickly but never quite as fast as this
So, bring the discrepancies, I'll pour the drinks",https://genius.com/Death-cab-for-cutie-army-corps-of-architects-lyrics
Death Cab for Cutie,Asphalt Meadows,Asphalt Meadows,"Your kiss was a lonely prayer
When you slipped it into my mouth
I closed my eyes and held it in
And then I exhaled it out
The glow of the downtown lights
Casting shadows across your face
As if all the buildings knew
I could only know half of you
And I was a snake under your flowers
I just wanted to disappear
Into the understory of your beauty
Never to reappear
But there's a name writ on your cast
Above the bruised and broken bones
It tells everybody that you meet
To whom the damage is owed

Wе rode a wave of white noisе
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet

You said all your bridges and roads
They all lead to an airport
Planes drifting off into the sky
Always depart, but never seem to arrive
And there in the early hour
Lying naked in your unmade bed
I was thinking of how to tell you
What my ticket read

Your kiss was a lonely prayer
A single candle, slowly burning down
But the light, your light was beautiful
Within its here and now

We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet
We rode a wave of white noise
Beneath the city sleeping
I saw the train doors closing
I felt your sorrow deepen
Here in the asphalt meadows
There's only one thing that grows
Finding the light through the concrete
Getting trampled under our feet
Getting trampled under our feet
Getting trampled under our feet
Getting trampled under our feet",https://genius.com/Death-cab-for-cutie-asphalt-meadows-lyrics
