band_name,album,song_name,release_year,sentiment,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,svd_11,svd_12,svd_13,svd_14,svd_15,svd_16,svd_17,svd_18,svd_19,svd_20,svd_21,svd_22,svd_23,svd_24,svd_25,svd_26,svd_27,svd_28,svd_29,svd_30,svd_31,svd_32,svd_33,svd_34,svd_35,svd_36,svd_37,svd_38,svd_39,svd_40,svd_41,svd_42,svd_43,svd_44,svd_45,svd_46,svd_47,svd_48,svd_49,svd_50
Death Cab for Cutie,The Photo Album,20th Century Towers,2001,-0.8225,0.1372652067076222,-0.03900420442792207,0.009136897507914243,-0.08033811494081673,0.0076973880898747815,0.028535959680313406,0.04429684924410151,-0.009801870381777567,-0.02930162467235956,-0.02856453206824294,-0.01392693875561814,-0.04197809287022658,0.032592183539542185,0.07553583307401907,0.09442489860355188,0.008430960983918502,-0.054087043667669636,-0.02448519861836874,0.025914607221731317,-0.06533637045235191,-0.04228172310667982,-0.052393631471562646,-0.0023674454306952283,0.01864855582998029,0.05220346100846127,-0.09465906124037493,-0.007390068278892531,-0.018227528010122663,0.001313723729927508,-0.033793644421973044,-0.018848247601464547,-0.10593142762517768,0.005567566223873767,-0.12141545365680409,-0.0570242699525114,0.001312791560734926,-0.07037447602721796,0.051936702322402016,0.041254885772454515,0.042993193199052614,-0.07290798681484723,-0.08047782939707933,0.07444450370421472,-0.031840422526052646,0.0754600264423823,-0.08629659532455687,0.204012227952582,-0.0741192615502343,0.13741317792943175,-0.19542280548969757
Death Cab for Cutie,We Have the Facts and We’re Voting Yes,405,2000,0.0243,0.04843291715224929,-0.03680682035573289,0.042272715947592326,0.005718775065309974,-0.032549300395949554,-0.017604661057823556,-0.01390565465091388,0.015239870560585714,0.0066228101871328195,0.005562942508725538,0.024725260766809053,0.031345597665779365,-0.04165787433660516,0.033026171234617936,0.04104654427917277,-0.014863420857451324,-0.00044016732542371417,-0.02875546850795412,-0.00874232612375004,-0.03685947345324184,0.013828886495560019,0.023914662133362193,0.008047138992446572,-0.029597926573352324,0.012730550861971697,0.025820474963023466,-0.014336421296749925,-0.009914985257620737,-0.011404193896119456,0.01079461329752583,-0.023588473831419998,0.02951055856317067,-0.0393723751014367,0.007679817009972491,-0.09288174186046734,0.08684481009058033,-0.06636061228663494,-0.06273439209365628,0.06504048027407092,-0.012180745768841449,0.12503979218062006,-0.10078133415985889,0.1161772072209997,-0.019128459638517434,-0.11229486674671643,0.016011472857900985,-0.03932425064519605,-0.08045385676902292,-0.013123373497697703,0.0010131234020903403
Death Cab for Cutie,Thank You for Today,60 & Punk,2018,0.9947,0.10403511680610984,-0.05572483554659213,0.057194203895444724,0.01886211444631843,-0.042138249413137735,-0.022989257015793935,0.04815195471359689,-0.047690953205355845,0.049655264050878146,-0.03632947776767415,0.05396594897877843,0.00044110025409473336,-0.05756115971295934,-0.06234693779754472,-0.00014086606790396963,-0.07714090084676177,-0.02716782405799069,-0.01646940781958022,0.017481878397866156,-0.01883092355563939,-0.02006296943852911,0.061112534660087425,-0.15916155005293553,-0.0367163694736807,-0.07866821715314906,-0.03504546315001362,-0.0346646905172648,-0.024745383226956123,-0.08531420135486259,0.03128955708738594,0.013052422884060999,-0.04884016216782535,0.2033965597105363,-0.10072625408644637,-0.04398065495599077,-0.10624675728632468,-0.049135633559032554,0.009345667283536743,0.008579550276081123,0.1529141261808209,-0.057713845967632675,-0.04903188319804345,0.08642154941794143,0.10440336284844368,0.019450617016525153,0.001756660723185871,0.06896481653401264,0.05470106767608138,0.17188166599044655,0.03840137123330894
Death Cab for Cutie,The Open Door EP,A Diamond and a Tether,2009,0.8318,0.30015792980332234,0.04779549449976884,-0.08180804528416344,0.006313251962011214,0.11879847782445155,-0.0232997012216316,0.0382507266500251,-0.050009080461001235,0.033854870425906125,0.12301590358193494,0.27404646018732504,0.07545991782807784,0.15036364907816344,-0.027073709038165642,0.0033696748444304848,-0.040180593321942855,0.030868184838991744,0.05122361880084171,0.12363843392002233,-0.06641537610208934,0.028010776949336534,0.08974377344770079,0.006143618923051664,0.0791641466122991,-0.1534187311330803,0.021113787809655248,-0.07893796183424645,-0.0072643993652887736,-0.025834211494659063,-0.02276768002941163,0.04856152851601244,-0.08792498950545072,-0.0034238551728678437,0.09006985649846816,0.04643014513653586,0.04953407254003161,-0.003844920725453788,-0.052034344419568085,-0.033721072626275876,-0.02779731814927193,-0.057357236013225364,0.10068815404776524,-0.05691815861686721,0.08672860469117319,0.027462639061863137,0.01657957263998813,0.05106251028483791,-0.02737673445098635,0.019106250027212793,0.020665754408292394
Death Cab for Cutie,Transatlanticism,A Lack of Color,2003,-0.2394,0.12746302860937245,-0.002418124779143672,0.017934425605701767,-0.07170122379870922,-0.018357103009155145,0.10381073169387542,-0.02450202930714051,0.09971931169652248,0.03648694334702663,-0.020396386108850584,-0.050220812245032505,-0.06994907300226846,0.05365113421474071,-0.053113396012216194,0.03029976894935266,0.012747494780665253,0.013345224661731695,0.017438653479891424,-0.011604972586141047,0.04950962866703937,-0.06750054142008072,-0.0967339513497901,-0.11881486327865366,0.058415376294610084,-0.05381497976669742,0.004925670751165348,-0.04548805326680995,0.059843138876621266,-0.011294902968117311,0.008782640012594987,0.0011808178849256642,0.03359144693272005,-0.013556337363342313,-0.056268711417855784,0.1314610276411721,0.021626002674183825,0.11438615803184997,-0.028920839133756128,-0.06300059392479879,0.08637103507321867,-0.037233898561328346,-0.14646645557799903,0.054107333146029175,0.13998168667114458,-0.08594666930803452,0.02533037377037242,-0.06656410640556927,-0.0015004202489259598,-0.03556511557952046,0.029229315206396524
Death Cab for Cutie,The Photo Album,A Movie Script Ending,2001,0.9109,0.06368712308200701,-0.03167907162390153,0.022970797881864746,-0.05475367169752696,0.08753818142515933,-0.0008541370193328566,-0.05242551598209544,-0.04439654506970956,0.034491580503486656,-0.01486750433540823,-0.011686799089332345,0.008754382744385836,-0.04369628478547032,0.037423093730502184,-0.051717945196423976,-0.008586315152696027,-0.04669675556343468,-0.038808505202766894,0.008711961293811622,-0.012307932639291363,0.01638377541260201,-0.060493427207201106,-0.06623399752161846,0.02978801291583788,-0.09189392191611959,-0.019505871733370133,0.07725606734226408,-0.027186242440819568,0.07225134424559872,0.05315098816799209,-0.04547716208034145,-0.03191677402544156,-0.12347575040994722,0.01283018916945967,0.09617304438689482,0.045288724695081606,0.045516243857518575,-0.06193451713287197,-0.08943438642717598,-0.0016915436815265153,0.03324689709922708,-0.013837775297006196,0.061672468093095685,0.06376949538617992,-0.08670248290756313,0.23882077898254409,0.06250073817404728,0.053999893240404905,-0.0763115885803715,0.009183701297715757
Death Cab for Cutie,You Can Play These Songs with Chords,Amputations,1997,-0.3182,0.22658948646563978,0.018572449918034445,0.011178795711321677,-0.061522296540554564,0.017841948250708697,-0.053223545221769156,0.11607715203987573,-0.027534968914208865,0.0011142538470762346,-0.07244657040812755,0.10342083210762869,0.03367599115488582,0.013842746223419578,-0.013268959234804532,0.025197408959488986,-0.038131656826860524,0.04477836767443276,-0.09582070019331901,0.07644740465719443,-0.08404873488727511,0.012613315424391699,0.13085339598137033,-0.1554207829940768,-0.011515993845425922,-0.10923360947067018,-0.05913044175971624,-0.04636882553227543,-0.18436554231231234,-0.131067021416757,-0.07952015771244751,-0.018573867361227528,-0.09224409941429722,0.09633376218825702,-0.13672295558091302,0.007392305796084161,0.040968921144722524,-0.016667463630829528,0.051460497983154066,0.02876736102063324,0.048149956021633585,-0.12474665967850393,0.031193291422892108,0.04191028261471611,-0.028044333452008997,0.09225710054650403,-0.003142640839636502,-0.07727437030157372,0.03301470650377855,-0.054677131466697344,0.08711707696535251
Death Cab for Cutie,An Arrow in the Wall,An Arrow in the Wall,2023,-0.9889,0.07911772699707326,-0.03999314693518376,-0.04186378462152118,0.05227291000146391,-0.010501350410259059,-0.02891906887839432,0.04003350113499451,-0.020720694247216054,-0.10712448886351358,-0.03208793120076152,0.12354664020962501,0.126818350864572,-0.08611256221138693,-0.08107804894381099,-0.0457979328877116,0.11065104386551422,0.04708813691336902,0.029810370525080395,0.025162999930074155,0.05118480630323507,-0.12110101747290682,-0.05514163810561567,0.06040990281945789,0.1954914147100344,-0.06474753052796847,-0.022093825081278176,-0.1673752536818823,-0.0383051061993507,-0.10143787769779755,0.07824849271003421,0.05519729872197267,-0.07101755383885147,-0.12662752119646806,0.11906252941710085,0.013207937649717925,0.05749905368781008,0.05314434998060705,-0.0010415498559016995,0.09360844768717785,0.1446296540937139,0.16471000113561,-0.0747831210088181,0.005225452240490063,-0.1489066209505523,0.07153036561724306,-0.027596799330792433,-0.0401509259482346,-0.10547113921569137,0.10831194254669266,-0.06129177494782122
Death Cab for Cutie,iTunes Originals – Death Cab for Cutie,An Early Heartbreak Song,1997,0.9908,0.1943399068314938,0.1013012348076284,-0.0320606258516099,0.038714177856568464,-0.025336936404546095,0.0621855391849494,-0.033332978166465174,-0.02896131809340211,0.11225251517664696,-0.011578663486216906,-0.09364195953738054,-0.07171075268531903,-0.06786638309475541,0.09649232393407607,0.02822121969351562,-0.13367153134844229,-0.0883082632552394,-0.13164317359542368,-0.05575849222415611,-0.02307195993959984,0.005949608442010714,0.09662767715185128,-0.06508762655953468,0.05243606640574916,-0.04904247959813806,0.07221265596713645,-0.09012229195902684,-0.09683109992293461,-0.1094498562176548,-0.18172189615982787,-0.017858360977844538,0.019586891899479715,-0.062149681178146864,-0.07852279494065027,-0.184187482479928,-0.09011961276699966,0.04670953614065305,0.029855591116402628,-0.01699890125052404,-0.000433947910445404,0.25881980709578767,-0.08932944102436911,-0.015092093363822815,-0.07883000647854696,-0.038219950564464866,0.0008938285794602977,-0.06723349342361608,-0.0014401762118839757,-0.04417949056404444,0.0837578769670413
Death Cab for Cutie,You Can Play These Songs with Chords,Army Corps of Architects,1997,-0.4497,0.11260787763373639,-0.09138238352702216,0.12862151671191882,0.005113086539254682,-0.026759522021511762,-0.004616169031077784,-0.03381714210583915,0.07152444376525174,0.03782898743157297,-0.07811925639854662,0.006019129758668971,0.052071725264610194,-0.0777411789649658,-0.002265629765768707,-0.015835616529960857,0.14527714007330103,-0.03160223166043902,0.03155565082068463,0.05036656758400808,-0.01204423204537311,0.05273106302768981,-0.12168418000164968,0.019105052801704422,0.07676159246704004,-0.28645656797512087,0.13523703017771932,-0.07136829782723322,0.0417580414008806,0.10906992420025291,-0.014960084429629204,-0.14277581812808054,-0.005075179957012796,-0.14376974453890057,-0.16194919269286615,0.025205331524706543,0.13485879918480467,0.026158021610027036,0.02228065337523648,-0.11916399210107836,0.08068919695654939,-0.021184267724384188,0.009059929589475987,0.0059896028858542685,0.19869733068080356,-0.009573879953527837,-0.10551909392747841,-0.02233075943267555,-0.023848615701480426,-0.16889847398788535,-0.050914037630989784
