,Unnamed: 0,band_name,album,song_name,song_lower,x,y,sentiment
43,356,Benjamin Gibbard,Former Lives,Something’s Rattling (Cowpoke),something’s rattling (cowpoke),-0.029188393427024364,-0.06530308647059553,0.9635
44,359,Benjamin Gibbard,Former Lives,Teardrop Windows,teardrop windows,-0.04261644134782494,-0.006382282717502233,-0.6974
45,333,Benjamin Gibbard,Former Lives,I’m Building a Fire,i’m building a fire,-0.01968271534637161,-0.01302085344575293,0.2732
46,214,Death Cab for Cutie,Future Soundtrack For America,This Temporary Life,this temporary life,-0.044560131464496555,-0.0978624185373337,-0.2996
47,283,The Postal Service,Give Up (10th Anniversary Edition),Sleeping In,sleeping in,-0.04833580962385786,0.12164113629448345,0.2632
48,289,The Postal Service,Give Up (10th Anniversary Edition),The District Sleeps Alone Tonight,the district sleeps alone tonight,-0.048182068118493404,-0.04666548976051638,0.4588
49,292,The Postal Service,Give Up (10th Anniversary Edition),There’s Never Enough Time,there’s never enough time,-0.04463018548810835,-0.06754207154334366,0.0
50,280,The Postal Service,Give Up (10th Anniversary Edition),Recycled Air,recycled air,-0.05690050731467128,-0.05918374456280416,0.8699
51,300,The Postal Service,Give Up (10th Anniversary Edition),We Will Become Silhouettes,we will become silhouettes,-0.04854798365550046,-0.02183570610244399,-0.5562
52,298,The Postal Service,Give Up (10th Anniversary Edition),Turn Around,turn around,-0.0808911795588942,0.039199316170642096,0.0083
53,296,The Postal Service,Give Up (10th Anniversary Edition),This Place Is a Prison,this place is a prison,-0.03308792131847564,0.036496792575871156,0.85
54,273,The Postal Service,Give Up (10th Anniversary Edition),Grow Old with Me,grow old with me,0.30330228328272707,-0.0981820905767401,0.9977
55,285,The Postal Service,Give Up (10th Anniversary Edition),Such Great Heights,such great heights,-0.052386341812912886,-0.04854601160914934,0.9948
56,269,The Postal Service,Give Up (10th Anniversary Edition),Brand New Colony,brand new colony,-0.06673607287819766,-0.022593982704724413,0.9303
57,274,The Postal Service,Give Up (10th Anniversary Edition),Natural Anthem,natural anthem,-0.0698004978029407,-0.00932749315244455,0.7338
58,276,The Postal Service,Give Up (10th Anniversary Edition),Nothing Better,nothing better,0.01666556941421626,0.01534825307346606,0.9093
59,271,The Postal Service,Give Up (10th Anniversary Edition),Clark Gable,clark gable,0.16769046214864808,0.07493115550797899,0.9915
60,263,The Postal Service,Give Up (10th Anniversary Edition),Against All Odds (Take a Look at Me Now),against all odds (take a look at me now),-0.0013732855889217767,-0.03525843886986384,0.3591
61,266,The Postal Service,Give Up (10th Anniversary Edition),Be Still My Heart,be still my heart,-0.07652797959445123,-0.03478415437137862,0.906
62,288,The Postal Service,Give Up (10th Anniversary Edition),Suddenly Everything Has Changed,suddenly everything has changed,-0.05585043446683396,0.009996263009941718,-0.2732
63,264,The Postal Service,Give Up (10th Anniversary Edition),A Tattered Line of String,a tattered line of string,-0.052992987148355715,0.11880659198011259,0.6705
64,368,Benjamin Gibbard,"Home, Vol 5 EP",You Remind Me Of Home,you remind me of home,-0.06325815791757348,-0.07075585802758959,-0.9895
